Complexity,Loss,Equation
1,2456.7192,"-59.406727"
3,2389.2432,"x0 - 59.399914"
4,534.0606,"sinh(x0 + -4.5799656)"
5,136.8869,"(x0 * 68.01188) - 59.08555"
6,1.2170342,"cosh(x0 + 4.7956023) + -135.55995"
8,1.2096353,"(x0 + -134.46875) + cosh(x0 + 4.781241)"
9,0.79472214,"(sign(x0) + cosh(x0 + 4.778624)) + -134.31651"
10,0.7325152,"(cosh(x0 + 4.780369) + tanh(inv(x0))) + -134.38858"
11,0.62107414,"(sinh(sin(x0 - 0.22746918) + 5.1143303) + x0) + -142.84088"
12,0.15166165,"sinh(x0 - -4.0923004) + sinh(tanh(x0 + -1.1650023) + -4.533857)"
13,0.06583376,"sinh(((x0 + x0) + 3.476237) - sin(x0 + -1.1845578)) + -116.57978"
14,0.015079752,"cosh((x0 + 3.7195904) + sin(x0 - tanh(x0 + -1.3093982))) + -119.57369"
15,0.012018876,"sinh(x0 + (sin(x0 - tanh(atan(x0) + -1.4956386)) + 3.6777248)) + -119.061516"
16,0.007318623,"sinh(x0 + (3.6783364 + sin(x0 - tanh(tanh(sinh(x0)) + -1.5130637)))) + -119.11825"
17,0.0028268597,"(x0 + cosh((x0 + 3.6649387) + sin(x0 - tanh(atan(x0) + -1.4653814)))) + -118.21723"
18,0.0024396293,"(-118.23939 + sinh((x0 + sin(x0 - tanh(atan(x0) + -1.4603333))) + 3.6661687)) + sin(x0)"
19,0.0022633292,"sin(tan(x0)) + (cosh((x0 + 3.6645632) + sin(x0 - tanh(atan(x0) + -1.4605864))) + -118.17827)"
20,0.0020794172,"asinh(sin(tan(x0))) + (cosh(x0 + (sin(x0 - tanh(atan(x0) + -1.4615123)) + 3.6658776)) + -118.263954)"
21,0.0016550634,"sin(tan(x0)) + (cosh((x0 + 3.6646771) + sin(x0 - tanh(sin(atan(asin(x0))) + -1.4617368))) + -118.17814)"
23,0.0012920449,"(sin(tan(sin(tan(x0)))) + cosh(x0 + (sin(x0 - tanh(sin(atan(asin(x0))) + -1.4606853)) + 3.6644754))) + -118.16408"
25,0.0006514742,"(sin(tan(sin(tan(sin(tan(x0)))))) + cosh(x0 + (sin(x0 - tanh(-1.4542876 + asinh(asin(atan(x0))))) + 3.6642263))) + -118.12134"
