Complexity,Loss,Equation
1,10761.903,"-13.292587"
2,10742.464,"tan(x0)"
3,1105.7981,"x0 * 140.49686"
4,840.6991,"tan(x0) * 102.54198"
6,189.63756,"-171.62144 - (exp(x0) * -125.65308)"
8,152.9901,"(exp(x0 * 1.3121918) * 85.89817) + -139.41615"
9,46.661892,"(exp(tan(x0) * 0.59435797) * 156.3885) + -196.78868"
11,46.35588,"(exp(tan(x0) * 0.58607656) * 160.63217) + (-200.88899 - x0)"
12,43.836124,"((exp(tan(x0) * 0.58607656) * 160.63217) + -200.88899) - sign(x0)"
13,36.13509,"((tan(x0) + -1.8954014) - (cosh(x0) * neg(exp(x0)))) / 0.020792995"
14,29.114586,"(tan(x0) + (-2.0286262 - neg(cosh(sinh(x0)) * exp(x0)))) / 0.02232113"
15,0.86087996,"((x0 + (sin(x0 * -2.0784357) + -2.7037861)) - (exp(x0) * -1.9902234)) * 66.73366"
17,0.8405502,"((((x0 + sin(x0 * -2.0327313)) + -2.5566113) - (exp(x0) * -1.8811178)) * 70.53955) + x0"
18,0.73770946,"((((x0 + sin(x0 * -2.0327313)) + -2.5566113) - (exp(x0) * -1.8811178)) * 70.53955) + asin(x0)"
19,0.2763961,"((x0 * -3.982212) + 126.18709) * (sin(x0 * -1.6311098) + ((x0 + -1.4964741) - (exp(x0) * -1.118442)))"
21,0.22523703,"((sin(x0 * -1.5119364) + (x0 + -1.2232476)) - (exp(x0) * -0.914521)) * ((x0 + (x0 * -5.780455)) + 154.23174)"
22,0.20113142,"(sin(x0 * -1.5089148) + (x0 + (-1.2240871 - (exp(x0) * -0.9142258)))) * (x0 + ((sinh(x0) * -4.894694) + 154.24388))"
25,0.13119566,"((x0 + ((sin(x0 * -2.092685) + -2.7182393) - (exp(x0) * -2.001051))) * 66.41147) - sin((asin(x0) + (x0 - -0.96546376)) / 0.3761046)"
26,0.11564897,"((((x0 + sin(x0 * -2.0961573)) + -2.7173395) - (exp(x0) * -2.0000055)) * 66.39483) - sin((asin(x0) + (asin(x0) - -1.1107383)) / 0.42641133)"
