Complexity,Loss,Equation
1,1.6351958e-8,"1.1989446e-5"
3,1.5290576e-8,"2.0757009e-6 / x0"
5,1.4881579e-8,"x0 ^ (1.5518067 / x0)"
6,1.2910974e-8,"8.615269e-5 * cos(1.7683952 / x0)"
7,1.2894019e-8,"sin(cos(1.7683952 / x0)) * 0.00010952226"
8,1.0101166e-8,"(x0 * cos(1.773476 / x0)) * 0.000816256"
10,9.4414885e-9,"(x0 * (x0 * 0.0046091992)) * cos(-1.7876235 / x0)"
11,9.440844e-9,"(sin(x0) * (x0 * 0.0047107143)) * cos(-1.7876172 / x0)"
12,9.013394e-9,"((x0 * x0) * (cos(-1.7876358 / x0) * 0.0046958183)) + 1.8395333e-5"
13,8.949871e-9,"(x0 * (x0 * (cos(-1.7876358 / sin(x0)) * 0.0046958183))) + 1.8395333e-5"
14,8.563427e-9,"(x0 - 0.22280039) * (x0 * (x0 * (cos(1.2910202 / x0) * x0)))"
15,8.119311e-9,"((x0 * (x0 * x0)) * (x0 - 0.22407322)) * sin(cos(1.2920489 / x0))"
16,7.3791315e-9,"(x0 - 0.22542308) * ((x0 * cos(-1.3049301 / x0)) * ((x0 * x0) + -0.0057447334))"
17,7.3662902e-9,"((x0 - 0.22542308) * x0) * (cos(-1.3049301 / sin(x0)) * ((x0 * x0) + -0.0057447334))"
18,7.365969e-9,"((x0 - 0.22542308) * (x0 * cos(-1.3049301 / sin(x0)))) * (-0.0057447334 + (x0 * sin(x0)))"
19,7.365857e-9,"(((x0 - 0.22542308) * x0) * cos(-1.3049301 / sin(x0))) * sin((x0 * sin(x0)) + -0.0057447334)"
20,7.2587087e-9,"x0 * ((((x0 * cos(((x0 - 0.22678337) / 0.22523788) / x0)) * (x0 - 0.22985701)) / 1.3282928) * x0)"
21,7.0925696e-9,"((((x0 * x0) * cos(sin((x0 - 0.22854748) / 0.22557) / x0)) * (x0 - 0.23002312)) / 1.3283547) * x0"
22,6.923205e-9,"(x0 * x0) * ((cos(sin((x0 - cos(x0)) / 0.23974378) / x0) * ((x0 - 0.22977033) / 1.3283206)) * x0)"
23,6.761388e-9,"x0 * (x0 * ((cos(sin(sin((x0 - cos(x0)) / 0.23918147)) / x0) * (x0 * (x0 - 0.22938384))) / 1.3283383))"
24,6.721031e-9,"(x0 * (((x0 * cos(sin(sin(sin((x0 - cos(x0)) / 0.23868893))) / x0)) * (x0 - 0.23031902)) / 1.3283458)) * x0"
25,6.654583e-9,"cos(sin(sin((x0 - cos(x0 / 0.84695125)) / 0.23789528)) / x0) * ((x0 * x0) * ((x0 * (x0 - 0.22902806)) / 1.3283303))"
26,6.599818e-9,"(x0 * ((cos(sin(sin(sin((x0 - cos(x0 - -0.051483255)) / 0.23569392))) / x0) * x0) * ((x0 - 0.2301898) / 1.3283901))) * x0"
27,6.5987837e-9,"(((x0 * cos(sin(sin(sin((x0 - cos(x0 - -0.051483255)) / 0.23569392))) / x0)) * x0) * ((x0 - 0.2301898) / 1.3283901)) * sin(x0)"
28,6.458577e-9,"x0 * (cos(sin(sin(sin((x0 - cos(-0.033167433 - (x0 / 0.6510948))) / 0.22959282))) / x0) * (x0 * (((x0 - 0.22746184) / 1.3283232) * x0)))"
29,6.3585555e-9,"x0 * ((cos(sin(sin(sin(sin(sin((x0 - cos((-0.033091903 - x0) / 0.65112513)) / 0.22882828))))) / x0) * x0) * sin(x0 * (x0 - 0.22622888)))"
30,6.192824e-9,"sin(((x0 * cos(sin(sin(sin(sin((x0 - cos(-0.033167433 - (x0 / 0.6510948))) / 0.22959282)))) / x0)) * x0) * (((x0 - 0.22746184) / 1.3283232) * x0))"
