Complexity,Loss,Equation
1,1.6351956e-8,"1.1991799e-5"
3,1.5290562e-8,"2.0818034e-6 / x0"
5,1.496351e-8,"(3.650424e-6 / x0) - 3.2982225e-5"
6,2.2926415e-10,"sin(x0 / -0.017993907) * -0.00017663928"
8,1.0502972e-10,"sin((x0 + 1.3306134) / -0.017688885) * -0.00017686184"
10,9.83224e-11,"sin(12.435231 / (0.2186733 / (1.1087328 - x0))) * -0.00017692542"
12,9.8279544e-11,"sin(1.7374399 / ((0.21869026 / (1.1088074 - x0)) / 7.1574078)) * -0.00017689429"
13,9.515482e-11,"(sin(12.435231 / (0.21867397 / (1.1087328 - x0))) * cos(x0)) * -0.0001791327"
15,9.483491e-11,"(sin(12.435231 / (0.2186733 / (1.1087328 - x0))) * cos(x0 * 1.1626456)) * -0.00017964747"
19,3.0556627e-11,"sin(12.435231 / (0.2186733 / (1.1087328 - x0))) * ((0.83680075 ^ cos(12.435231 / (-0.23131254 / x0))) * -0.00017692542)"
20,1.8196658e-11,"sin(12.435231 / (0.2186733 / (1.1087328 - x0))) * sin((0.83680075 ^ cos(-12.747892 / (-0.23131254 / x0))) * -0.00017692542)"
21,7.1295153e-12,"((0.85593927 ^ cos(12.435231 / (0.21868753 / (-0.8790297 - x0)))) * sin(12.435231 / (0.21868242 / (1.1087323 - x0)))) * -0.00017769336"
22,6.693577e-12,"(sin(12.435231 / (0.21868797 / (1.108732 - x0))) * (0.8606038 ^ cos(12.435231 / (0.2186874 / (-0.8790297 - sin(x0)))))) * -0.00017773255"
24,6.6489657e-12,"sin(sin(12.435231 / (0.21868797 / (1.108732 - x0))) * (-0.00017773255 * (0.85826916 ^ cos(12.435231 / (0.2186874 / ((x0 / x0) - x0))))))"
27,6.6038286e-12,"sin(sin(12.435231 / (0.21868797 / (1.108732 - x0))) * (-0.00017773255 * (0.85826916 ^ (cos(12.435231 / (0.2186874 / ((x0 / x0) - x0))) * cos(x0)))))"
29,6.5511407e-12,"(sin(12.435231 / (0.2186874 / (1.108732 - x0))) * (sin(cos(-0.8790297 - sin(x0)) ^ -0.058177546) ^ cos(12.435231 / (0.2186874 / (-0.8790297 - sin(x0)))))) * -0.00017773255"
