Complexity,Loss,Equation
1,1.635196e-8,"1.2031756e-5"
3,1.5290725e-8,"2.1075998e-6 / x0"
5,1.4824729e-8,"x0 ^ (1.5767968 / x0)"
6,5.2406066e-9,"cos(x0 * 64.88292) * -0.00015261243"
7,5.04848e-9,"cos(sin(x0) * 64.88292) * -0.00015261243"
8,1.0538534e-10,"cos((x0 + 1.3960606) * 57.19413) * 0.0001767571"
9,9.7806714e-11,"cos((sin(x0) + 1.3968184) * 57.19415) * 0.00017763281"
10,9.7790276e-11,"cos((sin(x0) + 1.3967482) * 57.19415) * sin(0.00017687664)"
12,9.617519e-11,"cos((sin(x0) + 1.3968183) * 57.194145) * (cos(x0) * 0.00017908699)"
13,9.613973e-11,"sin(cos(x0) * (cos((sin(x0) + 1.3968182) * 57.194145) * 0.00017961898))"
15,9.5810346e-11,"cos(((cos(x0 * -0.8309731) * (x0 / 0.015353797)) + 1.3999225) * 0.89380723) * -0.00017792304"
16,9.579989e-11,"cos(((cos(sin(x0 * -0.8309731)) * (x0 / 0.015353797)) + 1.3999225) * 0.89380723) * -0.00017792304"
17,9.562763e-11,"cos((((cos(x0 * sin(cos(x0))) / 0.01535541) * x0) + 1.3999224) * 0.8938061) * -0.00017796892"
18,7.249377e-11,"cos(((x0 * (cos(x0 * cos(-0.90609556 / x0)) / 0.01543745)) + 1.3999224) * 0.8938061) * -0.00017796892"
20,7.0071705e-11,"cos(cos((x0 * cos(0.8514409 / x0)) + 0.030874891) * (((x0 / 0.015407408) + 1.3999224) * 0.8938064)) * -0.00017793707"
21,6.889224e-11,"cos(cos((x0 * cos(0.8514409 / sin(x0))) + 0.030874891) * (((x0 / 0.015407408) + 1.3999224) * 0.8938064)) * -0.00017793707"
22,4.891049e-11,"cos((cos(((cos(0.8938061 / x0) + x0) * 1.3999224) * x0) * ((x0 / 0.01543745) + 1.4423226)) * 0.8938061) * -0.00017796892"
23,4.3900876e-11,"cos(((x0 * (cos((cos(0.87040424 / sin(x0)) + x0) * (x0 * 1.3999224)) / 0.015435581)) + 1.4423226) * 0.8938061) * -0.0001789429"
27,3.934713e-11,"cos(((x0 * (cos((x0 * 1.4423226) * (cos(cos(0.041986972 / x0) * (0.8938061 / x0)) + x0)) / 0.015435598)) + 1.4423226) * 0.8938061) * -0.00018026079"
29,3.926664e-11,"cos(((x0 * (cos((cos((cos(0.041986972 / (x0 - -0.00017796912)) * 0.8938061) / x0) + x0) * (x0 * 1.4423226)) / 0.015435598)) + 1.4423226) * 0.8938061) * -0.00018026079"
30,3.8442926e-11,"cos(((x0 * (cos(((cos(cos(0.041986972 / (x0 - -0.00017796912)) * (0.8938061 / sin(x0))) + x0) * x0) * 1.4423226) / 0.015435598)) + 1.4423226) * 0.8938061) * -0.00018026079"
