Complexity,Loss,Equation
1,1.6037587e-8,"-3.0596697e-5"
3,4.194769e-10,"x0 * 9.956614e-6"
5,6.726849e-11,"-1.867103e-5 - (x0 * -9.830489e-6)"
6,6.7265464e-11,"sin(-3.141574 - (x0 * 9.818183e-6))"
7,6.389936e-11,"((x0 * 1.0000098) + -2.0024881e-5) - x0"
8,6.279083e-11,"sin(x0 + ((-1.9974575e-5 - x0) * 0.99999017))"
9,6.1754e-11,"(x0 * 1.3862541) + ((-1.4203689e-5 - x0) * 1.3862443)"
10,2.7615273e-11,"(x0 + (-1.9658839 - cos(x0 / 7.697328))) * 9.855034e-6"
12,2.1646154e-11,"(x0 + (sin(-2.1490767 - (x0 / -6.4211884)) + -1.9737874)) * 1.0153246e-5"
14,2.1277157e-11,"((-1.8538649 + x0) - sin(cos(cos(x0)) - (x0 / -7.6315126))) * 1.02809445e-5"
15,1.705503e-11,"(sin((-8.753858 - x0) / (sin(x0) - -8.324944)) + (x0 + -1.8816915)) * 1.0105933e-5"
17,1.4495247e-11,"((x0 + sin(-2.1021347 - (x0 / (-8.008193 - (sin(x0) * 2.1722093))))) + -1.8816915) * 1.0052411e-5"
19,9.576147e-12,"(sin((-6.3371496 - x0) / ((sin(x0) / (4.7100887 / x0)) - -8.435634)) + (x0 + -1.8816915)) * 1.0146011e-5"
20,9.424128e-12,"(sin((-6.3371496 - x0) / ((sin(sin(x0)) / (4.7100887 / x0)) - -8.435634)) + (x0 + -1.8816915)) * 1.0188789e-5"
21,7.797329e-12,"((sin((-7.310772 - x0) / ((sin(x0 * -0.41740903) / (4.7100887 / x0)) - -8.435634)) + x0) + -1.8816915) * 1.0146011e-5"
26,7.52829e-12,"(sin(((-6.3371496 - x0) - (0.39638904 - sin(x0))) / ((sin(-0.41740903 * x0) / (4.7100887 / x0)) - -8.435634)) + (x0 + -1.8816915)) * 1.0146011e-5"
28,7.449782e-12,"(sin(((-6.3371496 - x0) - (0.39638904 - sin(x0))) / ((sin(-0.41740903 * x0) / (4.7100887 / (0.7603624 + x0))) - -8.435634)) + (x0 + -1.8816915)) * 1.0146011e-5"
