Complexity,Loss,Equation
1,1.603759e-8,"-3.057449e-5"
3,4.1947662e-10,"x0 * 9.958167e-6"
5,6.7237105e-11,"(x0 * 9.818694e-6) + -1.8785973e-5"
7,6.2760734e-11,"x0 + ((x0 + 2.0022364e-5) * -0.99999017)"
9,2.4195838e-11,"((x1 * 6.3791724e-8) + -2.9502067e-5) + (x0 * 9.866191e-6)"
11,2.2902765e-11,"x0 + (((x1 * 5.7926627e-8) + (x0 * -0.99999017)) + -2.9091509e-5)"
13,1.3063141e-11,"(x2 * 3.8635672e-9) + (((x0 * 8.968356e-6) + -2.9190143e-5) + (x1 * 6.2790754e-8))"
15,1.186667e-11,"((x2 * 3.4423162e-9) + x0) + (((x1 * 6.463447e-8) + (x0 * -0.99999094)) + -2.951452e-5)"
17,1.0671745e-11,"(((x1 * 6.458756e-8) + ((x2 * 3.8502437e-9) + x0)) + -0.6984145) + ((x0 * -0.999991) + 0.6983847)"
19,1.0058111e-11,"((x0 * -0.99999094) + 0.68254036) + (((x2 * 3.4522185e-9) + ((x1 * 6.4500476e-8) + (x0 + -0.20080173))) + -0.48176816)"
23,1.0056901e-11,"((x0 * -0.99999094) + 0.68254036) + (((((x2 + -1.1904529) + 0.18869334) * 3.4522185e-9) + ((x1 * 6.4500476e-8) + (x0 + -0.20080173))) + -0.48176816)"
