Complexity,Loss,Equation
1,1.6037589e-8,"-3.065756e-5"
3,4.1947662e-10,"x0 * 9.957637e-6"
5,6.723152e-11,"(x0 * 9.825435e-6) + -1.8867131e-5"
7,6.276126e-11,"x0 + ((x0 * -0.99999017) + -2.0021153e-5)"
9,2.4209969e-11,"(x1 * 6.212751e-8) + ((x0 * 9.84872e-6) + -2.919437e-5)"
11,2.2917522e-11,"(((x1 * 5.7676278e-8) + (x0 * -0.99999017)) + -2.9228431e-5) + x0"
13,1.3128005e-11,"((x0 * 8.894374e-6) + (x1 * 6.3831834e-8)) + ((x2 * 4.1418886e-9) + -2.9366443e-5)"
15,1.1783229e-11,"(x1 * 6.198609e-8) + (((x0 * -0.99999106) + -2.9304967e-5) + (x0 + (x2 * 3.8439554e-9)))"
17,1.1484739e-11,"(x0 + (x2 * 3.8140913e-9)) + ((((x1 + x0) * 6.101273e-8) + (x0 * -0.99999106)) + -2.9183024e-5)"
19,1.1444963e-11,"((x0 + (x2 * 3.8140913e-9)) + ((((x1 + x0) * 6.101273e-8) + (x0 * -0.99999106)) + -2.9183022e-5)) + 1.2202975e-7"
21,1.1372491e-11,"(x0 + ((x2 + 0.8886468) * 3.8140913e-9)) + (2.440595e-7 + (((x1 + x0) * 6.101273e-8) + ((x0 * -0.99999106) + -2.9183022e-5)))"
