Complexity,Loss,Equation
1,1.6171002e-8,"1.382234e-9"
3,6.6015604e-10,"x1 * 1.0338492e-5"
5,5.6095023e-10,"(x0 + x1) * 1.0368231e-5"
7,1.2669138e-10,"(x1 + (x0 / 0.09701664)) * 1.0334942e-5"
8,1.2441435e-10,"(x1 + (atan(x0) / 0.09671397)) * 1.0341714e-5"
9,9.732624e-11,"(((x0 / 0.09154053) + x1) * 1.0337198e-5) - -6.1019764e-6"
10,9.605013e-11,"5.0582626e-6 - (((atan(x0) / 0.09218531) + x1) * -1.0361771e-5)"
11,2.8820479e-11,"(x1 + (x0 / 0.09335047)) * ((1.6761018 ^ x0) * 1.0565731e-5)"
12,2.7555718e-11,"((atan(x0) / 0.08702331) + x1) * ((1.6152475 ^ x0) * 1.0540473e-5)"
13,1.8680424e-11,"((x1 + (x0 / 0.09118019)) * ((1.6157391 ^ x0) * 1.0584073e-5)) - -3.4640025e-6"
14,1.3397474e-11,"(abs(x0) + (((x0 / 0.08702331) + x1) * (1.6152475 ^ x0))) * 1.0544438e-5"
15,1.2315472e-11,"(abs(x0) + ((1.6152475 ^ x0) * ((atan(x0) / 0.08702331) + x1))) * 1.05596255e-5"
16,6.484408e-12,"(((1.554949 ^ x0) * (x1 + (x0 / 0.08680463))) + abs(x0 / 0.44344428)) * 1.0540639e-5"
17,6.386657e-12,"(((1.554949 ^ atan(x0)) * (x1 + (x0 / 0.08680463))) + abs(x0 / 0.44344428)) * 1.0535984e-5"
18,2.1817227e-12,"(((((x0 / 0.082480684) + x1) + -0.36209562) * (1.5676749 ^ x0)) + abs(x0 / -0.26694548)) * 1.0535464e-5"
19,2.0146825e-12,"(((((x0 / 0.082480684) + x1) + -0.36209562) * (1.5676749 ^ atan(x0))) + abs(x0 / -0.26694548)) * 1.053235e-5"
20,1.9237773e-12,"((((x1 + -0.36209562) + (x0 / 0.082480684)) * (1.5676749 ^ atan(atan(x0)))) + abs(x0 / -0.26694548)) * 1.0532703e-5"
21,1.8627131e-12,"((((x1 + -0.36209562) + (sin(x0) / 0.082480684)) * (1.5676749 ^ atan(atan(x0)))) + abs(x0 / -0.26694548)) * 1.0540786e-5"
22,1.7723026e-12,"(x0 + ((1.5676749 ^ x0) * ((x1 + (x0 / 0.09701664)) + sin((x0 * (x0 * 15.811304)) - 0.21923439)))) * 1.0547064e-5"
23,1.5611833e-12,"(x0 + ((x1 + ((x0 / 0.09701664) + sin((x0 * (x0 * 15.811304)) - 0.21923439))) * (1.5676749 ^ atan(x0)))) * 1.0537295e-5"
24,1.3992838e-12,"(x0 + (((x1 + (x0 / 0.09701664)) + sin(((x0 * x0) * 15.811304) - 0.21923439)) * (1.5676749 ^ atan(atan(x0))))) * 1.0537295e-5"
25,1.3403122e-12,"(x0 + ((((x0 / 0.09701664) + x1) + sin(((x0 * (x0 + 0.014691172)) * 15.811304) - 0.28873786)) * (1.5676749 ^ atan(x0)))) * 1.0537295e-5"
26,1.1120482e-12,"((1.1423045 * x0) + ((x1 + ((x0 / 0.09701664) + sin(((x0 * x0) * 15.811304) - 0.21923439))) * (1.5676749 ^ atan(atan(x0))))) * 1.0537295e-5"
28,1.0253176e-12,"atan(((1.1423045 * x0) + (((x1 + (x0 / 0.09701664)) + sin((x0 * (x0 * 15.811304)) - 0.21923439)) * (1.5676749 ^ atan(atan(atan(x0)))))) * 1.0537295e-5)"
29,9.467522e-13,"((x0 + (x1 + ((x0 + -0.00661519) / 0.09701664))) + sin(((x0 * 15.811304) * (x0 + 0.017042717)) - 0.19975036)) * ((1.5676749 ^ atan(atan(atan(x0)))) * 1.0537295e-5)"
30,9.387838e-13,"(((x0 + ((x0 + -0.00661519) / 0.09701664)) + (x1 + sin(((x0 * 15.811304) * (x0 + 0.014692229)) - 0.19975036))) * 1.0537295e-5) * (1.5676749 ^ atan(atan(atan(atan(x0)))))"
