Complexity,Loss,Equation
1,1.6171002e-8,"9.510332e-9"
3,6.6015604e-10,"x1 * 1.0338544e-5"
5,5.609539e-10,"(x1 + x0) * 1.037412e-5"
7,1.2674987e-10,"(x0 * 0.00010568249) - (x1 * -1.0311918e-5)"
8,1.2426411e-10,"(atan(x0) * 0.0001088114) - (x1 * -1.0322369e-5)"
9,9.7469054e-11,"(5.358349e-6 - (x0 * -0.00011395042)) - (x1 * -1.0311918e-5)"
10,9.573792e-11,"(5.358349e-6 - (atan(x0) * -0.00011395042)) - (x1 * -1.0311918e-5)"
11,2.907832e-11,"(x0 + 2.0262687) * ((x1 * 5.2131863e-6) + (x0 * 5.8065998e-5))"
12,2.7705237e-11,"(x0 + 2.072581) * ((atan(x0) * 5.726135e-5) + (x1 * 5.09457e-6))"
13,1.9113561e-11,"(x0 + 2.2653472) * (1.5095166e-6 - ((x0 * -5.084892e-5) - (x1 * 4.6607743e-6)))"
14,1.829002e-11,"(x0 + 2.2653472) * ((1.4059415e-6 - (atan(x0) * -5.2103667e-5)) - (x1 * -4.661261e-6))"
15,3.4297573e-12,"((x0 * (x0 + 0.8881231)) * ((x1 * 5.4432944e-6) + 0.00014241926)) - (x1 * -1.0441761e-5)"
17,2.4724092e-12,"(-1.7083413e-6 - ((x0 + 0.75413615) * (((x1 * -6.5822305e-6) - 0.00017022899) * x0))) - (x1 * -1.0402504e-5)"
18,2.4449852e-12,"(-1.600505e-6 - (((atan(x0) + 0.75413615) * ((x1 * -6.5545787e-6) - 0.00017135787)) * x0)) - (x1 * -1.0399594e-5)"
19,1.9176292e-12,"(((-0.000106979634 - ((x0 + 1.3720995) * (-0.00017174547 - (x1 * 3.4292245e-6)))) * x0) - (x1 * -1.04792525e-5)) - 1.6545064e-6"
20,1.8797626e-12,"((x0 * (-0.000107066815 - ((sin(x0) + 1.3720995) * (-0.00017156848 - (x1 * 3.464233e-6))))) - (x1 * -1.0477961e-5)) - 1.6732229e-6"
21,7.014186e-13,"(-2.531704e-6 - (x0 * (-0.00011706779 - ((x0 + 1.0332503) * (((x0 / 0.02464326) + x1) * 4.794201e-6))))) + (x1 * 1.04622e-5)"
22,6.4201774e-13,"(-2.648564e-6 - (x0 * (-0.00011731295 - ((x0 + 1.0314565) * (4.6355344e-6 * ((sin(x0) / 0.02321401) + x1)))))) + (x1 * 1.0463977e-5)"
24,6.054719e-13,"(-2.648564e-6 - (x0 * (-0.00011731295 - (((x0 + 1.0314565) * 4.6355344e-6) * ((x0 + (sin(x0) / 0.02321401)) + x1))))) + (x1 * 1.0463977e-5)"
26,6.054715e-13,"(-2.648564e-6 - (x0 * (-0.00011731295 - ((x0 + 1.0314565) * (4.6355344e-6 * (((-2.648564e-6 + x0) + (sin(x0) / 0.02321401)) + x1)))))) + (x1 * 1.0463977e-5)"
