Complexity,Loss,Equation
1,1.6171002e-8,"4.096539e-9"
3,6.6015615e-10,"x1 * 1.033906e-5"
5,5.6095206e-10,"(x0 + x1) * 1.0372645e-5"
7,1.2669597e-10,"(x0 * 0.000106217616) + (x1 * 1.0323294e-5)"
9,9.707671e-11,"((x1 + 0.5308074) * 1.03298735e-5) + (x0 * 0.00011109237)"
11,2.6051697e-11,"(((x1 * 1.0555688e-5) + 0.00023755428) / (0.62025195 ^ x0)) + -0.00023312302"
13,1.8430715e-11,"3.3292815e-6 + (((x0 * 0.000119353455) + (x1 * 1.054916e-5)) / (0.6226211 ^ x0))"
15,3.1804065e-12,"((x0 * 8.869277e-5) + (x1 * ((x0 * -6.9243133e-6) + 7.969851e-6))) / (0.7641934 - x0)"
17,2.0085613e-12,"(((x0 * 0.00011284482) + (((x1 * -4.0433175e-8) + 1.0512389e-5) * x1)) + 9.424858e-6) / (0.6495756 ^ x0)"
19,1.3979777e-12,"((x0 * 8.869277e-5) + (x1 * (((x1 * -6.5612067e-9) + (x0 * -6.9243133e-6)) + 7.969851e-6))) / (0.7641934 - x0)"
21,9.000095e-13,"(((x0 * 0.00010804001) + 3.2280434e-6) + (((x1 * -1.9718069e-8) + ((x0 * -6.054361e-6) + 1.0008022e-5)) * x1)) / (0.9563636 - x0)"
23,8.8957807e-13,"((x0 * 0.00010804001) + (((((x1 - -0.20515281) * -1.9718069e-8) + ((x0 * -6.054361e-6) + 1.0008022e-5)) * x1) + 3.2280434e-6)) / (0.9563636 - x0)"
25,7.6639297e-13,"(((((x0 * -5.045253e-6) + ((x1 + (x0 * x1)) * -3.1276606e-8)) + 1.22965e-5) * x1) + (5.9413455e-6 + (x0 * 0.0001356056))) / (1.1756083 - x0)"
27,7.4159873e-13,"(((x0 * 0.0001356056) + 5.9413455e-6) + (((x0 * -5.045253e-6) + (((x1 + ((x1 * x0) + -0.38857344)) * -3.1276606e-8) + 1.22965e-5)) * x1)) / (1.1756083 - x0)"
