Complexity,Loss,Equation
1,1.6171002e-8,"-1.0175862e-9"
3,6.601568e-10,"x1 * 1.0335748e-5"
5,5.6095306e-10,"(x1 + x0) * 1.0364566e-5"
7,1.2673326e-10,"(x1 * 1.0354891e-5) - (x0 * -0.00010590497)"
9,9.705325e-11,"(x1 * 1.033383e-5) - ((x0 * -0.00011179252) - 5.6313e-6)"
11,6.385126e-11,"(x1 * 1.0544701e-5) - (x0 * ((x1 * -4.381378e-6) - 0.000105374536))"
13,3.450101e-11,"((x1 + 0.5591035) * 1.0556425e-5) - (((x1 * -4.3986624e-6) - 0.00011198418) * x0)"
15,4.322769e-12,"(x1 * 1.0560055e-5) - (x0 * ((((x0 / 0.029912557) + x1) * -4.358593e-6) - 0.00012729414))"
17,4.2969664e-12,"((-0.0020961456 + x1) * 1.0560055e-5) - (x0 * (((x1 + (x0 / 0.029912557)) * -4.358593e-6) - 0.00012729414))"
19,3.5085463e-12,"((x1 + -0.1241809) * 1.0549827e-5) - (x0 * (((((x0 / 0.02781632) + x1) * 2.9673326e-6) - -8.367207e-5) * -1.5558367))"
21,3.0551974e-12,"(((x1 - ((x1 * -0.41276455) * x0)) - (x0 * (x0 * -15.989493))) * 1.0556348e-5) - ((x0 * -0.00012880894) - -1.6090949e-6)"
23,2.9356767e-12,"(((x1 - ((x1 * x0) * -0.40519485)) - ((x0 * x0) * (-16.364632 - x0))) * 1.05472855e-5) - ((x0 * -0.00012814326) - -1.7198145e-6)"
25,2.8519567e-12,"(((x1 - (x0 * (x1 * -0.40519485))) - ((x0 * x0) * (-16.364632 - (x0 + x0)))) * 1.0555762e-5) - ((x0 * -0.00012700494) - -1.7694666e-6)"
27,1.9138126e-12,"(((x1 - (((x1 - (x0 * (x1 * -0.8273402))) * x0) * -0.45932218)) - ((x0 * x0) * -17.27407)) * 1.0472065e-5) - ((x0 * -0.00012985013) - -2.1623885e-6)"
29,1.7836529e-12,"(((x1 - ((x0 * -0.45932218) * (x1 - (x0 * (x1 * -0.82855624))))) - (x0 * (x0 * (-17.27407 - x0)))) * 1.047245e-5) - ((x0 * -0.00012879304) - -2.0876291e-6)"
