Complexity,Loss,Equation
1,1.6171e-8,"8.423088e-9"
3,6.6015726e-10,"1.0335132e-5 * x1"
5,5.6095145e-10,"(x0 + x1) * 1.037204e-5"
7,1.2668833e-10,"(x0 * 0.00010647293) + (x1 * 1.0335132e-5)"
9,9.7088414e-11,"(x0 * 0.000110892244) + ((x1 + 0.5283253) * 1.0335132e-5)"
11,2.8462746e-11,"((x0 * 0.00011518379) + (x1 * 1.0551106e-5)) * (1.6596116 ^ x0)"
13,1.8737777e-11,"(1.5557486 ^ x0) * (((x1 + 0.29875454) * 1.0546409e-5) + (x0 * 0.00011628631))"
15,1.8426484e-11,"(((x0 * 0.00011832636) + ((x1 + 0.12104539) * 1.0558006e-5)) * (1.6045444 ^ x0)) + 2.0562773e-6"
17,3.0009983e-12,"((((x1 * -5.4873908e-8) + (x0 * 4.3509035e-6)) + 1.0618973e-5) * (x1 + 1.2733653)) + (x0 * 0.00010623449)"
19,3.0009979e-12,"(((x1 * -5.4873908e-8) + ((x0 * 4.3509035e-6) + 1.0618973e-5)) * ((x1 + 0.007858709) + 1.2655065)) + (0.00010623449 * x0)"
21,1.666623e-12,"(((((x1 * -7.494433e-8) + 4.4613694e-6) * x0) + ((x1 * -5.733013e-8) + 1.0625425e-5)) * (x1 + 1.275835)) + (x0 * 0.000111616675)"
25,5.270592e-13,"(x0 * 0.000111758585) + ((((x0 * ((x1 * -7.7958205e-8) + ((x0 * 3.919383e-6) + 4.869828e-6))) + 1.0542127e-5) + (x1 * -5.7044446e-8)) * (x1 + 1.2639302))"
