Complexity,Loss,Equation
1,1.6171e-8,"1.1929143e-8"
3,6.60156e-10,"x1 * 1.0338105e-5"
5,5.6095045e-10,"(x0 + x1) * 1.036771e-5"
7,1.266931e-10,"(x0 * 0.000105588675) + (x1 * 1.0344746e-5)"
9,9.713281e-11,"(x0 * 0.00011134319) + ((x1 * 1.03330585e-5) + 5.2948935e-6)"
11,2.9091339e-11,"(x1 + (x0 * 11.1497135)) * ((x0 * 5.189743e-6) + 1.05935505e-5)"
13,1.9003701e-11,"(((x0 * 4.866906e-6) + 1.0608206e-5) * ((x0 * 11.150073) + x1)) + 3.1936718e-6"
15,4.4106446e-12,"(((x0 * 4.359921e-6) + 1.0525263e-5) * x1) + ((x0 + 0.8679908) * (x0 * 0.00014716464))"
17,3.0539965e-12,"(((x0 * 4.290613e-6) + 1.0549289e-5) * x1) + (((x0 + 0.72517496) * (x0 * 0.00017723982)) + -2.0889574e-6)"
23,1.1662314e-12,"(((x0 + (x0 * x0)) + 2.1584113) * ((((x0 + x0) * ((x0 * 5.79662) + 5.8222957)) + x1) * 4.8477887e-6)) + -1.8269452e-6"
25,1.1363566e-12,"((x0 + ((x0 * (x0 * 0.9516709)) + 2.1584113)) * ((((x0 + x0) * ((x0 * 5.79662) + 5.8222957)) + x1) * 4.8477887e-6)) + -1.8269452e-6"
27,1.1203823e-12,"((((x0 + (x0 * (x0 * 0.8482914))) + 2.1584113) * (x1 + ((((x0 * 5.79662) + 5.79662) * (x0 + x0)) * 1.0109044))) * 4.8491306e-6) + -1.8586392e-6"
29,1.0393742e-12,"((((x0 + (x0 * x0)) + 2.196115) * (((x0 + x0) * (x0 + (((x0 + 2.5144894) * (x0 + x0)) + 5.6444135))) + x1)) * 4.7619706e-6) + -1.9133686e-6"
