Complexity,Loss,Equation
1,1.6171e-8,"1.1919762e-8"
3,6.6015604e-10,"x3 * 1.0337749e-5"
5,5.6095056e-10,"(x3 + x0) * 1.0370728e-5"
7,1.2675658e-10,"(x0 * 0.00010459587) + (x3 * 1.0337749e-5)"
9,6.827643e-11,"(x3 * 1.032987e-5) + ((x1 + x0) * 0.0001250337)"
11,6.682974e-11,"(x3 * 1.0339453e-5) + (((x1 * 1.1696937) + x0) * 0.00012642097)"
13,4.6893496e-12,"((x0 + x1) * ((x3 * 4.842401e-6) + 0.00012604773)) + (x3 * 1.0467057e-5)"
15,3.5854553e-12,"((x3 + x1) * 1.0448557e-5) + (((x3 * 4.7836065e-6) + 0.00012692933) * (x0 + x1))"
17,3.2418727e-12,"((x0 + x1) * ((x3 * 4.834233e-6) + 0.00012736882)) + ((x1 + (x3 + x1)) * 1.0449011e-5)"
19,2.252867e-12,"(((x0 + x1) * ((x3 * 4.912512e-6) + 0.0001291168)) + ((x3 + (x1 * 3.3724658)) * 1.0446573e-5)) + -1.7065612e-6"
21,1.9993978e-12,"((x1 + x0) * ((x3 * 4.790178e-6) + 0.00012955103)) + ((((x1 + x3) + (x1 * 3.3724658)) * 1.0453819e-5) + -1.6664738e-6)"
23,1.8055481e-12,"((((x1 + x0) + (((x0 + (x3 * (x2 + 0.1051966))) * x0) * 0.35012192)) * 0.0001289917) + (x3 * 1.050537e-5)) + -1.889984e-6"
25,1.5020288e-12,"((x3 * 1.0517744e-5) + -1.7434669e-6) + (((x1 + x0) + ((((x3 * (x2 + 0.10269116)) + x0) + x1) * (x0 * 0.38953662))) * 0.0001251939)"
27,1.4057063e-12,"(x3 * 1.0513286e-5) + (((x1 + (x0 + ((x1 + (((x3 + x0) * (x2 + 0.102696985)) + x0)) * (x0 * 0.38953647)))) * 0.00012581487) + -1.9599845e-6)"
29,8.501725e-13,"(x3 * 1.0506606e-5) + ((((x1 + (((x0 * 0.5767963) + (((((x1 * x0) + 0.10611611) * x3) * 0.3583977) + x1)) * x0)) + x0) * 0.00012202579) + -2.2538018e-6)"
