Complexity,Loss,Equation
1,1.6171e-8,"8.130649e-9"
3,1.615069e-8,"1.9624645e-6 / x0"
5,1.615004e-8,"1.9624645e-6 / (x0 ^ 1.0574229)"
7,1.61489e-8,"((0.4472105 / x0) * 1.6063304e-7) / x0"
8,1.6067212e-8,"sin(x0 / (0.44724756 / x0)) * 8.095513e-6"
10,1.5783595e-8,"sin(x0 / (0.44731483 / x0)) * (x0 * 3.382634e-6)"
12,1.5297372e-8,"(sin(x0 / (0.44726408 / x0)) * (1.4496285 ^ x0)) * 1.072056e-6"
14,1.5231722e-8,"(sin(x0 / (0.44721058 / x0)) * (x0 * 1.2263887e-7)) * (1.3873098 ^ x0)"
15,1.5050858e-8,"((1.3873098 ^ x0) * sin(x0 / (0.44721058 / x0))) * (cos(x0) * 2.2242568e-6)"
17,1.48763295e-8,"sin(x0 / (0.44731483 / x0)) * (((x0 * (1.565428 ^ x0)) * 4.6425395e-8) * cos(x0))"
20,1.4848218e-8,"(((1.3873098 ^ x0) * (sin(x0 / (0.44721058 / x0)) * (cos(x0) * 1.9896595e-7))) * cos(x0)) * x0"
21,1.4821841e-8,"sin(x0 / (0.44731483 / x0)) * (((x0 * (1.565428 ^ x0)) * 4.6425395e-8) * cos((x0 + 0.95552975) / -0.72101766))"
22,1.4798131e-8,"(sin(x0 / (0.44731483 / x0)) * ((cos(x0) * 7.2570494e-8) * ((x0 * (1.387308 ^ x0)) ^ 1.1673744))) * cos(x0)"
24,1.476959e-8,"(((sin(x0 / (0.44731483 / x0)) * x0) * 5.4997855e-9) * cos(x0)) * (((x0 * (1.387308 ^ x0)) ^ 1.1673744) * cos(x0))"
26,1.47650026e-8,"(((sin(x0 / (0.44731483 / x0)) * x0) * 5.4997855e-9) * cos(-0.24852681 + x0)) * (((x0 * (1.387308 ^ x0)) ^ 1.1673744) * cos(x0))"
27,1.47592925e-8,"((x0 * ((1.3873084 ^ x0) * 0.92669165)) * ((cos(x0) * (sin(x0 / (0.44718823 / x0)) * cos(x0))) * cos(x0))) * (x0 * 1.9890836e-8)"
