Complexity,Loss,Equation
1,1.6171002e-8,"1.1711893e-9"
3,1.615069e-8,"1.9698562e-6 / x0"
5,1.614509e-8,"5.4009246e-7 / (x0 ^ 1.383208)"
7,1.6144998e-8,"(5.4009246e-7 / (x0 ^ 1.383208)) / 0.93550307"
8,1.592931e-8,"cos((x0 + 0.05713995) / 0.0173066) * 2.8014007e-5"
10,1.1628299e-8,"cos((x0 + (x0 ^ -0.28584546)) / 0.017294252) * 9.344506e-5"
11,7.830419e-9,"(cos(x0) * cos((x0 + 0.022955626) / 0.017347706)) * -0.0001800089"
13,7.784911e-9,"cos(x0 + -0.07862783) * (cos((x0 + -0.08738634) / 0.017347706) * -0.0001800089)"
15,7.779029e-9,"(cos(x0 + -0.08027455) * -0.00017178686) * cos((x0 + (x0 / x0)) / 0.017342206)"
17,7.678967e-9,"((cos((x0 / x0) + (x0 / 0.017342206)) * -0.00017178686) * cos(x0 + -0.27563226)) / 0.9858392"
