Complexity,Loss,Equation
1,1.6171002e-8,"-4.1088204e-9"
3,1.6170901e-8,"x0 * -5.7085003e-8"
5,1.617077e-8,"(x0 + -4.3148975) * -5.7085003e-8"
8,1.6170747e-8,"((sin(x0) + x0) + -4.3148975) * -5.7085003e-8"
9,1.6170667e-8,"((x0 + (x0 + -4.4003196)) + -4.3148975) * -5.7085003e-8"
11,1.6170652e-8,"((-0.4340056 + (x0 + -4.4003196)) + (x0 + -4.3148975)) * -5.7085003e-8"
12,1.6170581e-8,"((x0 + (x0 + -11.948727)) + (sin(x0) + 0.79568225)) * -5.7085003e-8"
15,1.6170546e-8,"((x0 + (x0 + (sin(x0) + -11.948727))) + (sin(x0) + 0.16058712)) * -5.7085003e-8"
17,1.6170539e-8,"(((x0 + -1.0321529) + (x0 + -11.948727)) + (sin(x0) + (sin(x0) + 0.16058712))) * -5.7085003e-8"
22,1.6170475e-8,"(((x0 + (x0 + -11.948727)) + sin(x0)) + ((x0 + -11.948727) + (sin(x0) + (sin(x0) + 0.16058712)))) * -5.7085003e-8"
