Complexity,Loss,Equation
1,1.6171e-8,"1.192908e-8"
3,6.6015604e-10,"1.033737e-5 * x3"
5,5.6097643e-10,"(x0 + x3) * 1.038249e-5"
7,1.2673215e-10,"(x3 * 1.0354613e-5) + (x0 * 0.00010580312)"
9,6.8366854e-11,"(x3 * 1.0313726e-5) + ((x0 + x1) * 0.00012442426)"
11,6.3832446e-11,"(x3 * 1.0555911e-5) + (x0 * ((x3 * 4.404357e-6) + 0.00010577809))"
13,4.683217e-12,"(x3 * 1.04566425e-5) + ((x0 + x1) * ((x3 * 4.9162672e-6) + 0.0001260256))"
15,3.7383707e-12,"((x1 + x3) * 1.0448635e-5) + ((x1 + x0) * ((x3 * 4.9213118e-6) + 0.000124299))"
17,2.7771526e-12,"(x0 + 2.3018336) * ((((x1 + x0) + x2) * 5.0805524e-5) + ((x3 * 4.590921e-6) + -4.819884e-7))"
19,1.3582284e-12,"(-2.4328497e-6 + (x3 * 1.0451722e-5)) + ((x0 + x1) * (((x0 + 1.9568182) * 6.403346e-5) + (x3 * 4.784241e-6)))"
21,8.1506975e-13,"((x3 * 1.0461695e-5) + ((((x3 * 0.060140613) + x0) + 1.5380518) * ((x0 + (x2 + x1)) * 7.634785e-5))) + -2.3638938e-6"
23,7.816343e-13,"(((x2 + x3) * 1.046336e-5) + (((x1 + x0) + x2) * (((x0 + 1.4463481) * 8.097874e-5) + (x3 * 4.6043688e-6)))) + -2.514679e-6"
25,5.4866994e-13,"((((((((x4 * x2) + x3) * 0.060046643) + x0) + 1.5710822) * ((x1 + x2) + x0)) * 7.60047e-5) + (x3 * 1.0460018e-5)) + -3.1378117e-6"
27,5.0989405e-13,"((((x1 + x0) + x2) * (((((x2 * (x4 * 0.7248834)) + x3) * 0.060140613) + x0) + 1.5711756)) * 7.577506e-5) + ((1.0464202e-5 * x3) + -2.864574e-6)"
29,5.0700725e-13,"(x3 * 1.0461737e-5) + (((((x1 + x0) + x2) * (((((x2 * 0.7248834) * (x4 + x3)) + x3) * 0.060140613) + (x0 + 1.5711756))) * 7.599689e-5) + -2.8239551e-6)"
