Complexity,Loss,Equation
1,0.044952355,"-0.049591858"
8,0.044952333,"((sin(x0) * x0) * 9.682858e-5) + -0.04951117"
9,0.04495233,"(sin(sin(x0)) * (9.682858e-5 * x0)) + -0.04951117"
10,0.044952296,"((sin(x0 + 0.4693282) * x0) * 9.682858e-5) + -0.049490944"
14,0.04486895,"(0.008744424 * sin(x0 * ((x0 + 0.26540446) * (x0 + x0)))) + -0.05134539"
16,0.044788964,"((x0 * 0.008744201) * sin(x0 * ((x0 + 0.26540446) * (x0 + x0)))) + -0.051322833"
17,0.04478853,"sin(((x0 * 0.008744201) * sin((x0 * (x0 + 0.26540446)) * (x0 + x0))) + -0.05134539)"
18,0.04478804,"sin(sin(((x0 * 0.008744201) * sin((x0 * (x0 + 0.26540446)) * (x0 + x0))) + -0.05134539))"
19,0.04474276,"sin(x0 * sin(0.008744424 * sin(sin(((x0 + 0.26540446) * x0) * (x0 + x0))))) + -0.05134539"
23,0.044722196,"sin(sin(((x0 + sin(x0 + 0.50732213)) * (sin((x0 + 0.26540446) * ((x0 + x0) * x0)) * 0.008744089)) + -0.05134539))"
