Complexity,Loss,Equation
1,0.044952355,"-0.049565427"
7,0.044942155,"(0.0009768866 ^ (x0 / 0.049491733)) - 0.049491733"
9,0.0449419,"(0.15916595 ^ ((x0 / 0.081573725) / 0.15916595)) - 0.049956094"
10,0.04494107,"sin((0.15916595 ^ ((x0 / 0.081573725) / 0.13319232)) - 0.049976896)"
11,0.04492833,"((0.15916595 ^ ((x0 / 0.049976896) / 0.15916595)) / 0.15916595) - 0.049956094"
17,0.044926237,"(0.15916595 ^ (x0 + (((x0 + ((x0 + x0) - 0.03980174)) / 0.081573725) / 0.081573725))) - 0.049976896"
19,0.04492313,"(0.15916595 ^ ((((x0 + (x0 + x0)) - 0.03980174) / ((x0 - -0.026207192) + 0.081573725)) / 0.081573725)) - 0.049976896"
21,0.044920325,"(0.15916595 ^ ((x0 + (((x0 + (x0 + x0)) - 0.03980174) / ((x0 - -0.026207192) + 0.081573725))) / 0.081573725)) - 0.049976896"
22,0.044920307,"(0.15916595 ^ ((x0 + ((sin(x0 + (x0 + x0)) - 0.03980174) / ((x0 - -0.026207192) + 0.081573725))) / 0.081573725)) - 0.049976896"
26,0.04492019,"sin((0.15916595 ^ ((x0 + (((x0 + (x0 + x0)) - 0.03980174) / ((x0 - x0) + ((x0 - -0.026207192) + 0.081573725)))) / 0.081573725)) - 0.049976896)"
