Complexity,Loss,Equation
1,1.8014487e-7,"-5.8376827e-7"
3,4.6782286e-8,"x3 * 7.4636655e-6"
5,4.6102443e-8,"(x0 + x3) * 7.4823565e-6"
7,2.814733e-9,"(x3 * 7.4938807e-6) + (x0 * 0.0009613285)"
9,3.1225325e-10,"((x0 + x1) * 0.0011122444) + (x3 * 7.500085e-6)"
11,2.2138866e-10,"((x2 + (x1 + x0)) * 0.0010352484) + (x3 * 7.5076646e-6)"
13,3.2147483e-11,"((x0 * 0.0010756587) + ((x1 * 0.0005979069) + (x3 * 7.4979566e-6))) + 2.5059875e-5"
15,3.2146563e-11,"((x0 * 0.0010756587) + ((x1 * 0.0005979069) + ((x3 + 0.014197236) * 7.4979566e-6))) + 2.5059875e-5"
17,1.2502972e-11,"((x3 * ((x0 * -6.06893e-7) + 7.4722193e-6)) + ((x1 * 0.00059606717) + 2.4883544e-5)) + (x0 * 0.0010748557)"
19,1.1509017e-11,"(x3 * (((x1 + x0) * -6.711904e-7) + 7.484916e-6)) + (((x0 * 0.0010769411) + (x1 * 0.000597445)) + 2.5297306e-5)"
21,1.134421e-11,"(x3 * 7.486318e-6) + (((((x3 * -0.00062579714) * (x1 + x0)) + x0) * 0.0010748964) + ((x1 * 0.0006000607) + 2.4883544e-5))"
23,1.1295608e-11,"((((x3 * -0.00062579714) * (x0 + (x1 * 1.1479573))) + x0) * 0.0010748964) + (((x3 * 7.486318e-6) + (x1 * 0.0006000607)) + 2.4883544e-5)"
25,1.1254213e-11,"((((x3 * -0.00062579714) * (x0 + (x1 * 1.1479573))) + x0) * 0.0010748964) + (((x2 + x3) * 7.486318e-6) + ((x1 * 0.0006000607) + 2.4883544e-5))"
27,1.1209549e-11,"((((x3 * -0.00062579714) * (((x2 + x0) * (x0 + x2)) + x0)) + x0) * 0.0010748964) + ((x3 * 7.486318e-6) + ((x1 * 0.0006000607) + 2.4883544e-5))"
29,1.1162594e-11,"((((x0 + ((x0 + x2) * (x0 + (x2 * 2.1898127)))) * (x3 * -0.00062579714)) + x0) * 0.0010748964) + ((x3 * 7.486318e-6) + ((x1 * 0.0006000607) + 2.4883544e-5))"
