Complexity,Loss,Equation
1,0.044952355,"-0.04958731"
8,0.04495234,"cos(x0 * 0.011768624) * -0.049726747"
10,0.044952266,"cos(x0 * (x0 * -0.0038961945)) * -0.049726747"
12,0.04495226,"cos((1.1731218 * x0) * (x0 * -0.0038961945)) * -0.049726747"
13,0.044907946,"cos(cos(x0 * (x0 * x0))) * -0.06817657"
15,0.044895023,"cos(sin(((x0 * x0) + x0) * x0)) * -0.058438465"
16,0.044821072,"((x0 * cos((x0 + x0) * (x0 * x0))) * 0.0032328635) + -0.04584661"
18,0.04474402,"(x0 * (x0 * (cos(x0 * ((x0 + x0) * x0)) * 0.0008007325))) + -0.048304167"
20,0.044598322,"((x0 * x0) * (cos(((-0.93500674 * (x0 + x0)) * x0) * x0) * 0.0012091828)) + -0.04584661"
25,0.04450735,"(x0 * (x0 * ((cos(x0) * cos((x0 * ((x0 + x0) * x0)) * -0.93500674)) * 0.0012091828))) + -0.04584661"
30,0.044480864,"sin((x0 * (x0 * (0.0012091828 * (cos(x0) * cos((x0 * ((x0 + x0) * x0)) * -0.93500674))))) + -0.04584661) * 1.2069013"
