Complexity,Loss,Equation
1,0.044952355,"-0.049558032"
8,0.044952318,"-0.049671415 * cos(0.017254911 * x0)"
12,0.044952273,"-0.049671415 * cos(((x0 + x0) * x0) * 0.0022430397)"
13,0.044904567,"cos(cos((x0 * x0) * x0)) * -0.06474552"
15,0.04484744,"cos(cos(x0 * (x0 * (x0 * 0.9115863)))) * -0.066670775"
18,0.044847414,"sin(cos(cos(x0 * (x0 * (x0 * 0.9115863)))) * -0.06672027)"
19,0.044846095,"cos(((x0 * 0.031242132) * x0) * cos(x0 * (x0 * x0))) * -0.058751408"
21,0.044691887,"cos((x0 * -0.044029023) * (x0 * cos(((x0 + -0.9444882) * x0) * x0))) * -0.05336438"
26,0.0446828,"cos((x0 * -0.042310473) * ((cos(x0 * ((x0 + -0.9480014) * x0)) * x0) * cos(x0))) * -0.058751408"
28,0.044664677,"cos((x0 * -0.042310473) * (x0 * cos(sin((x0 * -0.042310473) * x0) * ((x0 * x0) * x0)))) * -0.05878526"
