Complexity,Loss,Equation
1,3.5410332e-7,"4.1993945e-7"
3,1.6510211e-7,"x3 * 5.1770394e-6"
5,1.6421417e-7,"(x3 + x0) * 5.1755233e-6"
7,8.8967695e-9,"(x0 + (x3 * 0.0028345485)) * 0.0018177388"
9,2.6901095e-10,"((x0 + 0.050065443) + (x3 * 0.002699789)) * 0.0019170104"
11,2.6613606e-10,"(((x1 + x3) * 0.002699789) + (x0 + 0.050065443)) * 0.0019170104"
13,1.9521908e-10,"(x0 + (((x3 * 0.035555303) + (0.6110863 + x1)) * 0.07521534)) * 0.001933683"
15,1.2061996e-10,"((((x3 * (x0 * -0.14302923)) + x3) * 0.0026873753) + (x0 + 0.050064884)) * 0.0019185288"
17,3.4251844e-11,"((((((-0.007486965 * x0) + 0.035248805) * x3) + (0.6110863 + x1)) * 0.07521534) + x0) * 0.001933683"
19,2.2261023e-12,"0.0019466679 * (x0 + (((x1 + (x3 * ((x0 * -0.0072401543) + 0.03514816))) + (x1 + 0.56759924)) * 0.0749326))"
21,1.7247134e-12,"(x0 + (((((((x0 * -0.0072921375) + 0.03511133) * x3) + (x1 * 1.1055431)) + x1) + 0.5675981) * 0.074905954)) * 0.0019485533"
23,1.1291033e-12,"(x0 + ((x2 * x2) + ((((x1 + x1) + (((x0 * -0.0071893637) + 0.03509541) * x3)) + 0.56759816) * 0.07489878))) * 0.0019502199"
25,1.0990474e-12,"(((x2 * x2) + x0) + (0.07489878 * ((x1 + x1) + (((x2 + x3) * ((x0 * -0.0071893637) + 0.03509541)) + 0.56759816)))) * 0.0019502199"
27,6.9598727e-13,"((((((x0 + 0.5994548) + x1) + ((((x0 * -0.007412264) + 0.03714199) * x3) + x1)) * 0.07607468) + x0) + ((x0 * 0.24126066) * x2)) * 0.0018144143"
29,6.052731e-13,"((((((x1 + (x0 + (((x0 * -0.0074119917) + 0.037136707) * (x3 + -0.09024319)))) + x1) + 0.5994548) * 0.07607203) + ((x2 * 0.24126066) * x0)) + x0) * 0.0018144859"
