Complexity,Loss,Equation
1,4.0237927e-7,"1.3865393e-6"
3,2.0357702e-7,"x0 * 0.0020540608"
5,1.9247771e-7,"0.00010819834 + (x0 * 0.0021678852)"
7,1.1251487e-8,"(x0 + (x3 * 0.0022210847)) * 0.0020624734"
9,2.2250359e-10,"((x3 * 4.574125e-6) + 0.00010758016) + (x0 * 0.0021671366)"
11,2.1410583e-10,"(x0 * 0.0021697725) + (x3 + ((x3 * -0.9999954) + 0.00011046885))"
13,5.746502e-11,"(x0 * 0.0021673988) + (0.000107738626 + (x3 * ((x0 * -9.29232e-7) + 4.5239112e-6)))"
15,5.54192e-11,"((x0 * 0.0021723793) + ((x3 + x1) * ((x0 * -8.667793e-7) + 4.5295674e-6))) + 0.00010732503"
17,4.3555383e-13,"(x0 * 0.0021683965) + ((((x0 * -8.961044e-7) + 4.5297975e-6) * (x3 + (x4 * -0.0002534109))) + 0.00011839333)"
19,4.3201304e-13,"(((x0 * -8.951767e-7) + 4.529258e-6) * ((x3 + 0.0021683965) + (x4 * -0.00025336785))) + ((x0 * 0.002168345) + 0.00011838816)"
21,4.3122415e-13,"(0.00011839333 + ((x3 + ((x2 * -0.7271931) + (x4 * -0.0002534109))) * ((x0 * -8.961044e-7) + 4.5297975e-6))) + (x0 * 0.0021684086)"
23,2.8508603e-13,"((x0 * 0.0021681844) + (((x0 * -9.346515e-7) + 4.5302986e-6) * ((x3 * (x2 * 0.167113)) + (x3 + (x4 * -0.00025342082))))) + 0.00011835662"
25,2.390101e-13,"((((((x1 * 0.1947373) + x0) * -5.9794193e-6) + 2.9595221e-5) * (((x3 * 0.15315673) + (x4 * -3.8457347e-5)) + -2.0604992)) + (x0 * 0.002156502)) + 0.00017920583"
27,2.0519003e-13,"(((x4 * -3.8227983e-5) + ((x3 * 0.15315673) + -2.0604992)) * (((((x1 * x1) * 2.6209733) + x0) * -5.987296e-6) + 2.958613e-5)) + ((x0 * 0.002156258) + 0.00017913403)"
29,2.0505306e-13,"((((x3 * 0.15315673) + (((x4 + 2.6209733) * -3.8227983e-5) + -2.0604992)) * (((((x1 * 2.6209733) * x1) + x0) * -5.987296e-6) + 2.958613e-5)) + 0.00017913403) + (x0 * 0.002156258)"
