Complexity,Loss,Equation
1,4.4504284e-7,"1.7834747e-6"
3,2.0362297e-7,"x0 * 0.002265661"
5,1.9020486e-7,"(x0 * 0.002388518) + 0.000118943746"
7,1.3566376e-8,"(x3 * 4.0600617e-6) + (x0 * 0.002254471)"
9,1.8145517e-10,"((x0 * 0.0023905127) + 0.000118737844) + (x3 * 4.0456594e-6)"
11,1.8011756e-10,"(0.0023905127 * x0) + (0.00011857282 + (4.0456594e-6 * (x3 + x1)))"
13,2.7928194e-11,"((x0 * 0.0023900871) + 0.00011856898) + (((x0 * -7.666022e-7) + 4.006214e-6) * x3)"
15,2.6551884e-11,"((x0 * 0.0023900871) + 0.00011856898) + (((x0 * -7.666022e-7) + 4.006214e-6) * (x1 + x3))"
17,4.4942983e-13,"((x0 * 0.0024058768) + ((x3 * ((x0 * -7.6918326e-7) + 4.0091923e-6)) + (x1 * 0.00016302132))) + 0.00011180591"
19,3.247656e-13,"((x3 * ((x0 * -7.7080233e-7) + 4.008774e-6)) + (x0 * (((x2 + x0) * 0.00015260298) + 0.0024070374))) + 0.00011180635"
21,3.1801406e-13,"(x0 * 0.0024068006) + (((((x0 * x2) + x1) * 0.00015015117) + 0.00011193764) + (((x0 * -7.6959486e-7) + 4.009343e-6) * x3))"
23,2.6767534e-13,"((x1 + (x2 * (x0 + -0.28627038))) * 0.0001466032) + ((x3 * ((x0 * -7.702151e-7) + 4.0091063e-6)) + ((x0 * 0.0024095678) + 0.00011201175))"
25,2.6734938e-13,"((((x0 * -7.702151e-7) + 4.0091063e-6) * x3) + ((x0 * 0.0024095678) + 0.00011201175)) + ((x1 + ((-0.28627038 + x0) * (0.0001466032 + x2))) * 0.0001466032)"
27,2.1530274e-13,"(((x0 * 0.002406269) + (((x1 + (x2 * x0)) + ((x3 * 3.882548e-9) * x4)) * 0.00014620108)) + (((x0 * -7.703946e-7) + 3.999047e-6) * x3)) + 0.00011209066"
29,1.9429764e-13,"((x0 * 0.002406269) + ((((x0 * -7.703946e-7) + 3.999047e-6) * x3) + (((x1 + (x2 * (x0 + x2))) + (x4 * (x3 * 3.882548e-9))) * 0.00014620108))) + 0.00011209066"
