Complexity,Loss,Equation
1,5.1945557e-7,"1.2349154e-6"
3,1.94999e-7,"x0 * 0.0026277183"
5,1.773009e-7,"(x0 * 0.002769533) + 0.000136401"
7,1.8116896e-8,"((x3 * 0.0012050342) + x0) * 0.0026280608"
9,1.1767042e-10,"(x3 * 3.167751e-6) + ((x0 * 0.0027709524) + 0.0001376319)"
11,1.1729741e-10,"((x3 + x1) * 3.167751e-6) + ((x0 * 0.0027709524) + 0.0001376319)"
13,4.463056e-12,"((x0 * 0.0027709524) + 0.0001376319) + (((x0 * -5.352148e-7) + 3.142876e-6) * x3)"
15,4.0865813e-12,"((x0 * 0.0027709524) + 0.0001376319) + ((x3 + x1) * ((x0 * -5.352148e-7) + 3.142876e-6))"
17,3.908564e-13,"(((x0 * 0.0027773785) + (x3 * ((x0 * -5.379902e-7) + 3.141844e-6))) + (x1 * 6.408722e-5)) + 0.00013494492"
19,3.8965432e-13,"(((x0 * 0.002777598) + (x1 * 6.0756174e-5)) + 0.0001350455) + (((x0 * -5.364222e-7) + 3.1421034e-6) * (x3 + x1))"
21,3.3838394e-13,"((x0 * 6.0504306e-5) * (x0 + x2)) + (0.00013497556 + ((x0 * 0.0027778947) + ((3.142329e-6 + (x0 * -5.3606874e-7)) * x3)))"
23,2.0599657e-13,"(((x3 + (x4 * -4.821972e-5)) * 3.1425234e-6) + (x0 * (((x4 * -0.00035642288) + x3) * -5.376678e-7))) + ((x0 * 0.002769519) + 0.00014042664)"
25,2.0041179e-13,"((x0 * 0.0027689892) + ((x0 * ((x3 + ((x4 + x4) * -0.00020553931)) * -5.35888e-7)) + 0.0001404242)) + (((x4 * -4.824985e-5) + x3) * 3.1423779e-6)"
27,1.9195309e-13,"((x0 * 0.002769533) + ((-5.362505e-7 * (((x4 * -0.00035642303) + x3) * x0)) + ((x3 + ((x4 + (x1 * x4)) * -4.824093e-5)) * 3.1423187e-6))) + 0.00014047847"
29,1.8197623e-13,"(x0 * (((x4 * -0.00035642053) + x3) * -5.370185e-7)) + ((((x3 + ((x4 + (x4 * (x1 + x1))) * -4.8093054e-5)) * 3.1422742e-6) + (x0 * 0.0027690905)) + 0.00014058086)"
