Complexity,Loss,Equation
1,5.1945557e-7,"1.3878434e-6"
3,1.9499902e-7,"x0 * 0.0026253597"
5,1.7730096e-7,"(0.0027677105 * x0) + 0.0001368857"
7,1.8119781e-8,"(x0 * 0.0026358902) + (x3 * 3.1629143e-6)"
9,1.1770065e-10,"((x0 * 0.0027714404) + (x3 * 3.1704674e-6)) + 0.00013764184"
11,1.173095e-10,"((x0 * 0.0027714404) + ((x1 + x3) * 3.1704674e-6)) + 0.00013764184"
13,4.4648165e-12,"((x0 * 0.0027713426) + (((x0 * -5.3463907e-7) + 3.1428601e-6) * x3)) + 0.00013762873"
15,4.4210703e-12,"((x3 + x1) * ((x0 * -5.2044726e-7) + 3.1413003e-6)) + ((x0 * 0.0027706951) + 0.00013791953)"
17,3.8940048e-13,"((x3 * (3.1422258e-6 + (x0 * -5.369422e-7))) + ((x1 + 2.1276903) * 6.342566e-5)) + (x0 * 0.002777545)"
19,3.862945e-13,"((x0 * 0.002777545) + (((x1 * 1.0123793) + 2.1276903) * 6.342566e-5)) + (x3 * ((x0 * -5.369422e-7) + 3.1422258e-6))"
21,2.018703e-13,"((x2 * -8.778745e-5) + ((x0 * 0.0027824638) + (x3 * ((x0 * -5.3500366e-7) + 3.1423513e-6)))) + ((x1 + 2.6634815) * 5.0772447e-5)"
25,1.8300414e-13,"((x1 + 2.9751046) * 4.553329e-5) + (((0.0027821062 * x0) + (x3 * (((x0 + (x1 * 0.10062537)) * -5.405324e-7) + 3.1429597e-6))) + (x2 * -8.779573e-5))"
27,1.8209986e-13,"((x1 + 2.9751046) * 4.553329e-5) + (((0.0027821062 * x0) + (x3 * (((x0 + ((x1 + x2) * 0.10062537)) * -5.405324e-7) + 3.1429597e-6))) + (x2 * -8.779573e-5))"
29,1.7985295e-13,"((x1 + 2.9751046) * 4.553329e-5) + ((x3 * (((x0 + (x1 * ((x0 + 1.4306117) * x1))) * -5.4053913e-7) + 3.1429274e-6)) + ((x0 * 0.0027821062) + (x2 * -8.779573e-5)))"
