Complexity,Loss,Equation
1,1.8014487e-7,"-5.5598287e-7"
3,4.5406257e-8,"x3 * 7.5753683e-6"
5,4.472666e-8,"7.599726e-6 * (x3 + x0)"
7,2.7323321e-9,"(x3 * 7.576531e-6) + (x0 * 0.0009486314)"
9,2.850095e-10,"(x3 * 7.576531e-6) + ((x1 + x0) * 0.001093793)"
11,2.0076274e-10,"(x3 * 7.5815956e-6) + ((x2 + (x0 + x1)) * 0.0010148855)"
13,2.1668096e-11,"(((x4 * -1.1629903e-8) + (x0 * 0.0010003995)) + (x3 * 7.5753683e-6)) + 7.710865e-5"
15,2.1610247e-11,"(((x2 + x3) * 7.5753683e-6) + ((x4 * -1.1629997e-8) + (x0 * 0.0010003995))) + 7.710865e-5"
17,2.1688853e-12,"(((x4 * -1.1317077e-8) + (((x0 * -6.212288e-7) + 7.546134e-6) * x3)) + 7.613388e-5) + (x0 * 0.0010016682)"
19,2.0637968e-12,"((x0 * 0.001000891) + (((x4 * -0.0015434831) + (x3 + ((x3 * x0) * -0.08404999))) * 7.544751e-6)) + 7.703032e-5"
21,1.0602684e-12,"(((x3 + ((x4 * -0.0015421321) + ((x0 + x1) * (x3 * -0.08656108)))) * 7.56011e-6) + (x0 * 0.0010009011)) + 7.7117395e-5"
23,1.0075524e-12,"((((((x0 + x1) * (x3 * -0.086561024)) + x3) + (x4 * -0.0015190867)) * -2.4926221e-5) + ((x0 * -0.0032997301) + -0.0002527881)) * -0.30337244"
25,6.6144903e-13,"((((x4 * -0.0015383259) + (x3 + ((x2 + (x2 + 0.1337104)) * ((x0 * x3) * -0.67204535)))) * 7.5528314e-6) + (x0 * 0.0010011718)) + 7.698007e-5"
27,5.584638e-13,"((x3 + ((((-0.68081963 + x1) * ((x2 + x2) + 0.14696454)) * (x0 * x3)) + (x4 * -0.0015425865))) * 7.5550797e-6) + ((x0 * 0.001000919) + 7.708226e-5)"
29,5.042376e-13,"(((((((x2 + (x2 + 0.14696455)) * (x1 + -0.68081963)) * (x3 * x0)) + x3) + (x4 * -0.0015298406)) * -5.3613235e-6) + ((x0 * -0.00071011484) + -5.459352e-5)) * -1.4090683"
