Complexity,Loss,Equation
1,1.6171002e-8,"3.5449166e-10"
3,6.6676975e-10,"x3 * 1.0338833e-5"
5,5.6694e-10,"(x3 + x0) * 1.0371149e-5"
7,1.2705571e-10,"(x3 * 1.0340189e-5) + (x0 * 0.00010527709)"
9,6.816339e-11,"(x3 * 1.0344108e-5) + ((x1 + x0) * 0.00012664472)"
11,6.436687e-11,"(x3 * 1.05549525e-5) + ((x0 * 4.4410594e-6) * (x3 + 23.963299))"
13,4.5491865e-12,"(x3 * 1.0453329e-5) + ((x0 + x1) * ((x3 * 4.775963e-6) + 0.00012608795))"
15,3.3022697e-12,"((x3 + 26.127234) * ((x0 + (x1 * 1.1315343)) * 4.882708e-6)) + (x3 * 1.0446082e-5)"
17,2.9894115e-12,"(x3 * 1.0466699e-5) + (((x3 * 4.8729225e-6) + ((x0 + 4.9106445) * 2.5725687e-5)) * (x0 + x1))"
19,1.2952529e-12,"(1.0460265e-5 * x3) + (((x1 + x0) * (((x0 + 2.087382) * 6.0587445e-5) + (x3 * 4.811811e-6))) + -2.2503455e-6)"
21,8.751878e-13,"(((x1 + x0) * ((((x1 + x0) + 1.5896157) * 7.625729e-5) + (x3 * 4.813486e-6))) + -2.5710258e-6) + (x3 * 1.0451068e-5)"
23,6.453536e-13,"(x3 * 1.0461155e-5) + (((((x4 * -5.6898322e-8) + ((x0 + 2.087382) * 6.2479245e-5)) + (x3 * 4.802495e-6)) * (x1 + x0)) + -2.474413e-6)"
25,4.1125068e-13,"(x3 * 1.0451995e-5) + (((x1 + x0) * (((x0 + 2.4065223) * 5.527314e-5) + ((x3 * 4.825829e-6) + (x1 * (x4 * -1.9142703e-6))))) + -2.5442814e-6)"
27,3.715618e-13,"(x3 * 1.0459974e-5) + (-2.4878852e-6 + ((((x3 * 4.842007e-6) + ((x0 + 2.4065223) * 5.566243e-5)) + ((x1 + 0.022882538) * (x4 * -1.3980563e-6))) * (x1 + x0)))"
29,3.591356e-13,"((((((x3 + x0) * 4.859081e-6) + ((x0 + 2.4065223) * 5.497386e-5)) + (((x1 + 0.022882538) * -1.2279437e-6) * x4)) * (x1 + x0)) + (x3 * 1.0462249e-5)) + -2.6293487e-6"
