Complexity,Loss,Equation
1,1.6171002e-8,"3.0992722e-10"
3,6.6676975e-10,"x3 * 1.033898e-5"
5,5.669399e-10,"(x3 + x0) * 1.0369993e-5"
7,1.2700943e-10,"((x0 * 10.227804) + x3) * 1.033898e-5"
9,6.815043e-11,"(x3 * 1.0332304e-5) + ((x0 + x1) * 0.00012622081)"
11,6.5649104e-11,"(x3 + (x0 * ((x3 * 0.4725411) + 10.097026))) * 1.0568055e-5"
13,4.5478946e-12,"(x3 + ((x1 + x0) * ((x3 * 0.4586108) + 12.035502))) * 1.0455336e-5"
15,3.5046668e-12,"(x1 + (x3 + ((x0 + x1) * ((x3 * 0.4586108) + 12.035502)))) * 1.0459891e-5"
17,2.9948706e-12,"(x3 + ((x0 + x1) * ((x3 * 0.45641175) + ((x0 * 2.2947304) + 12.033494)))) * 1.04500405e-5"
19,2.550879e-12,"((x3 + ((x0 + x1) * (((2.2947304 * x0) + (x3 * 0.45641175)) + 12.033494))) * 1.04500405e-5) + -5.335993e-7"
21,1.0694422e-12,"((x3 + (((((x0 * 12.008875) + (x3 * 0.3194941)) * (x0 + 1.4148927)) + 11.531022) * x0)) * 1.0490608e-5) + -1.5593772e-6"
23,7.598095e-13,"(((x3 + (x0 * ((((x3 * 0.31233734) + (x0 * 13.113576)) * (x0 + 1.4148927)) + 11.531022))) * -0.00025052723) + 5.4476597e-5) * -0.04187403"
25,6.226289e-13,"((((x0 * ((((x0 * 13.274455) + (x3 * 0.31233734)) * (x0 + (x2 + 1.4148927))) + 11.531022)) + x3) * -0.00025033337) + 5.4499043e-5) * -0.04187403"
27,6.222112e-13,"(((x3 + (x0 * (11.531022 + ((x0 + (1.4148927 + x2)) * ((x0 * 13.274455) + (0.31233734 * (x2 + x3))))))) * -0.00025033337) + 5.4499043e-5) * -0.04187403"
