Complexity,Loss,Equation
1,1.6171002e-8,"1.2158665e-9"
3,6.667702e-10,"x3 * 1.0337182e-5"
5,5.669406e-10,"1.0367883e-5 * (x0 + x3)"
7,1.2700871e-10,"(x3 * 1.0345185e-5) + (x0 * 0.00010718452)"
9,6.815564e-11,"((x3 * 0.08190315) + (x1 + x0)) * 0.00012611662"
11,2.9221098e-11,"((x3 * 5.1382262e-6) + (x0 * 5.6601406e-5)) * (x0 + 2.059888)"
13,4.5505297e-12,"(x3 * 1.0454961e-5) + ((x0 + x1) * (0.00012623092 + (x3 * 4.8783277e-6)))"
15,3.3401001e-12,"(((x3 * 4.8748943e-6) + 0.00012691872) * (x0 + (x1 * 1.1424106))) + (x3 * 1.0455191e-5)"
17,3.0019915e-12,"((((x3 * 4.8681336e-6) + (x0 * 2.6425581e-5)) + 0.00012701296) * (x1 + x0)) + (x3 * 1.0461641e-5)"
19,1.2876739e-12,"((x0 + x1) * (((x3 * 4.836054e-6) + (x0 * 6.0737482e-5)) + 0.00012622471)) + (-2.1339538e-6 + (x3 * 1.0454006e-5))"
21,1.2147338e-12,"((x0 + x1) * ((x3 * 4.836054e-6) + ((x0 * 6.0737482e-5) + 0.00012622471))) + (-2.1339538e-6 + ((x3 + x2) * 1.0454006e-5))"
23,1.1578683e-12,"((x0 + x1) * (((x3 * 4.8287225e-6) + (x0 * 7.824419e-5)) + 0.00012477992)) + ((((x2 + x3) + x2) * 1.045998e-5) + -2.7956867e-6)"
25,6.4034753e-13,"(-2.5672975e-6 + ((x1 + x0) * ((0.00017658813 * (x1 + -0.046197645)) + ((x3 * 4.8085185e-6) + ((8.248195e-5 * x0) + 0.0001229002))))) + (x3 * 1.04559385e-5)"
27,6.3980917e-13,"(x3 * 1.04559385e-5) + (((((((x1 + -0.046197645) * 0.00017658813) + 0.0001229002) + ((x3 + x1) * 4.8085185e-6)) + (x0 * 8.248195e-5)) * (x1 + x0)) + -2.5672975e-6)"
