Complexity,Loss,Equation
1,1.6171002e-8,"8.61683e-10"
3,6.6676975e-10,"x3 * 1.0338522e-5"
5,5.6694016e-10,"(x3 + x0) * 1.0368773e-5"
7,1.2701303e-10,"(x3 * 1.03230195e-5) + (x0 * 0.000106247826)"
9,6.8156356e-11,"(x3 * 1.03297925e-5) + ((x1 + x0) * 0.00012630664)"
11,6.473462e-11,"((x0 * ((x3 * 0.38316867) + 10.112455)) + x3) * 1.0529936e-5"
13,4.572158e-12,"(((x3 * 4.8537586e-6) + 0.00012686216) * (x1 + x0)) + (x3 * 1.0449221e-5)"
15,3.510193e-12,"(((x3 * 4.8979623e-6) + 0.00012785986) * (x0 + x1)) + ((x1 + x3) * 1.0448374e-5)"
17,3.0096327e-12,"(x3 * 1.0449238e-5) + (((x0 + (x3 * 0.19612026)) + 5.047778) * ((x0 + x1) * 2.507892e-5))"
19,2.6131445e-12,"((x3 * 1.0462353e-5) + ((((x3 * 0.17921342) + (x0 + 4.898376)) * (x0 + x1)) * 2.578783e-5)) + -1.0400013e-6"
21,1.4576482e-12,"((x3 * 1.0449238e-5) + -1.7571275e-6) + (((x0 + x1) * ((x0 + (x3 * 0.19612026)) + (5.047778 + x0))) * 2.507892e-5)"
23,1.4095367e-12,"((x3 * 1.0449238e-5) + -1.7571275e-6) + ((x1 + x0) * ((((x0 + ((x0 + x3) * 0.19612026)) + 5.047778) + x0) * 2.507892e-5))"
25,8.782246e-13,"((x1 + x0) * (((((x0 + x1) * 6.0631843) + 7.2176824) + ((x3 + 6.0631843) * 0.38265383)) * 1.2709712e-5)) + ((x3 + -0.25194094) * 1.045808e-5)"
27,7.880722e-13,"(((x0 + x1) * (((x3 + 5.4950895) * 0.38316867) + (7.491029 + (5.8716197 * (x0 + x1))))) + (((x3 + -0.22848052) * 0.82951367) + x2)) * 1.2604486e-5"
29,7.8317864e-13,"(((((x1 + x0) * 5.8716197) + (((x1 + (x3 + 5.4950895)) * 0.38316867) + 7.491029)) * (x0 + x1)) + (((x3 + -0.22848052) * 0.82951367) + x2)) * 1.26030845e-5"
