Complexity,Loss,Equation
1,1.8893826e-7,"3.9645662e-11"
3,9.172668e-8,"5.0283224e-6 * x3"
5,9.126116e-8,"(x0 + x3) * 5.0283224e-6"
7,4.630123e-8,"(x3 * 5.1024076e-6) + (x0 * 0.0009910372)"
9,1.45171795e-8,"(x3 + (x6 * (x0 * 5.5348163))) * 5.005966e-6"
11,1.0343447e-8,"(x6 * ((x0 + 0.053498488) * 2.904444e-5)) + (x3 * 4.8931142e-6)"
13,5.1691242e-9,"(x3 * ((x6 * -7.046704e-8) + 9.856032e-6)) + (x0 * (x6 * 2.7343713e-5))"
15,9.065222e-10,"(x3 * ((x6 * -7.046704e-8) + 9.856032e-6)) + (x6 * ((x0 * 2.9256184e-5) + 1.4509326e-6))"
17,5.930348e-10,"(x3 * ((x6 * -7.221531e-8) + 9.936001e-6)) + ((x6 + -3.5942018) * ((x0 * 3.0800486e-5) + 1.5557266e-6))"
19,5.7316113e-10,"(((x6 + -4.7972493) * ((x0 * 0.00088453485) + 4.465434e-5)) + (((x6 * -2.0645748e-6) + 0.00028386706) * x3)) * 0.035529096"
21,5.7122695e-10,"((((x0 * 0.00088453485) + 4.465434e-5) * (x6 + -4.7972493)) + ((0.00028173384 + ((x0 + x6) * -2.0645748e-6)) * x3)) * 0.035529096"
23,5.5561766e-10,"((((x6 * -7.009333e-8) + 9.814013e-6) * (x3 + -0.5709516)) + (x6 * 1.4319678e-6)) + ((x0 + (x6 + -4.4956837)) * (x0 * 3.1541877e-5))"
25,5.1550025e-10,"((x3 + -1.0502785) * ((x6 * -7.009333e-8) + 9.814013e-6)) + (((((x6 + (x0 * 3.3805943)) + -4.4644194) * 3.1541877e-5) * x0) + (x6 * 1.4319678e-6))"
27,4.8503757e-10,"((x3 + -1.7596695) * ((x6 * -7.009333e-8) + 9.814013e-6)) + ((x0 * ((-4.3554263 + (x6 + ((x0 + x0) * 3.3805943))) * 3.1541877e-5)) + (x6 * 1.4319678e-6))"
29,4.7869375e-10,"(((x3 + -1.4013528) * ((x6 * -7.009333e-8) + 9.814013e-6)) + ((x0 * (x6 + (((x0 + (x0 + 0.14025722)) * 3.3805943) + -4.4956837))) * 3.1541877e-5)) + (x6 * 1.4319678e-6)"
