Complexity,Loss,Equation
1,1.8893826e-7,"-4.678717e-11"
3,9.1726506e-8,"x1 * 5.0219874e-6"
5,9.126136e-8,"(x0 + x1) * 5.0428343e-6"
7,4.6353897e-8,"(x1 * 5.1503184e-6) + (x0 * 0.0010001649)"
9,1.452412e-8,"(x1 + ((x2 * x0) * 5.57113)) * 4.987098e-6"
11,1.0259776e-8,"(((x2 * (x0 + 0.047952134)) * 5.8280845) + x1) * 5.007248e-6"
13,1.0035068e-8,"((((x0 + 0.047952138) * 5.9049287) * (x2 + -2.361799)) + x1) * 5.0428343e-6"
15,7.89177e-9,"((((x0 + x0) * x2) + x1) * 1.1980532e-5) + ((x2 * x1) * -9.885979e-8)"
17,4.7559587e-9,"(x2 * (x1 * -1.00947354e-7)) + (((x2 * (0.09854484 + (x0 + x0))) + x1) * 1.2133721e-5)"
19,9.2143043e-10,"((x1 + ((((x0 + x0) + x0) + 0.1457883) * x2)) * 9.740718e-6) + ((x2 * x1) * -6.919649e-8)"
21,6.204251e-10,"((x1 + (((x0 + (x0 + x0)) + 0.1457883) * (x2 + -4.0445294))) * 1.0311622e-5) + (x2 * (x1 * -7.654174e-8))"
23,5.641951e-10,"((x1 + ((((x0 + x0) + 0.14578828) + x0) * ((x2 * 1.0500898) + -4.879326))) * 1.0015915e-5) + (x1 * (x2 * -7.240832e-8))"
25,5.4387334e-10,"((x1 * x2) * -7.240832e-8) + ((x1 + (((x0 + (x0 + x0)) + 0.14578828) * (((x2 + x0) * 1.0500898) + -4.879326))) * 1.0015915e-5)"
27,5.2539995e-10,"((x2 * x1) * -7.25902e-8) + (((((((x0 * 2.3811324) + x2) * 1.0500898) + -4.879326) * ((x0 + (x0 + x0)) + 0.14578828)) + x1) * 1.0022064e-5)"
29,5.2218474e-10,"(x2 * (x1 * -7.25902e-8)) + ((((((((x0 * 2.3811324) + x2) * 1.0500898) + -4.879326) * ((x0 + (x0 + x0)) + 0.14578828)) + x1) + -0.08947445) * 1.0022064e-5)"
