Complexity,Loss,Equation
1,1.8893826e-7,"-2.4900885e-11"
3,9.172653e-8,"x1 * 5.0198096e-6"
5,9.126106e-8,"(x1 + x0) * 5.0354906e-6"
7,4.6284956e-8,"((x1 * 0.0050196876) + x0) * 0.000996494"
9,1.4513576e-8,"(x1 * 5.017568e-6) + ((x2 * x0) * 2.7576038e-5)"
11,1.03173985e-8,"(x2 * ((x0 * 2.9416544e-5) + 1.5461555e-6)) + (x1 * 4.924839e-6)"
13,5.164918e-9,"(x1 * 9.977093e-6) + (x2 * ((x1 * -7.194083e-8) + (x0 * 2.7701828e-5)))"
15,9.0271585e-10,"(x2 * (((x1 * -7.25467e-8) + (x0 * 2.9056197e-5)) + 1.4384593e-6)) + (x1 * 9.977093e-6)"
17,5.6201077e-10,"(x1 * 9.582497e-6) + ((x2 + -4.7234573) * (((x0 * 3.1567582e-5) + (x1 * -7.144529e-8)) + 1.5883503e-6))"
19,3.8727452e-10,"(((x2 ^ 0.8277077) + -4.6274476) * (((x1 * -1.7381967e-7) + 3.6127428e-6) + (x0 * 7.119789e-5))) + (x1 * 9.951882e-6)"
21,3.2895975e-10,"(x1 * 9.914006e-6) + ((x0 + ((x2 ^ 0.8277077) + -4.6274476)) * ((x0 * 7.123565e-5) + ((x1 * -1.734461e-7) + 3.4590093e-6)))"
23,3.0000313e-10,"(x1 * 9.996211e-6) + (((x0 + (x0 + (x2 ^ 0.8277077))) + -4.6836443) * (((x0 * 7.208215e-5) + 3.3341719e-6) + (x1 * -1.7635942e-7)))"
25,2.8451025e-10,"(((x0 + (x0 + (x2 ^ 0.8277077))) + -4.6836443) * (((x1 * -1.8008843e-7) + (x0 * 7.129238e-5)) + 3.4093055e-6)) + ((x1 + -0.38108036) * 1.0064503e-5)"
27,2.6593805e-10,"((x1 + -0.4824867) * 1.0060118e-5) + (((((2.2191892 * x0) + (x2 ^ 0.8277077)) + -4.6836443) + x0) * (((7.129238e-5 * x0) + (x1 * -1.8008843e-7)) + 3.4093055e-6))"
29,2.5570704e-10,"(((((x0 + -1.7147048e-6) * -0.9999645) + x0) + (x1 * -9.35659e-8)) * (x2 + ((((x2 * x2) * -1.6528387e-5) * x2) + (x0 + -5.548871)))) + (x1 * 1.0272448e-5)"
31,1.9333907e-10,"(x1 * 1.0191514e-5) + (((x1 * -9.223642e-8) + (x0 + ((x0 + -1.6369053e-6) * -0.99996424))) * (((x2 + (x0 * 4.168317)) + (x2 * ((x2 * -1.6661716e-5) * x2))) + -5.548871))"
33,1.5173326e-10,"(x1 * 1.0255568e-5) + (((x1 * -9.454191e-8) + (x0 + ((x0 + -1.5412323e-6) * -0.9999638))) * ((((x0 * (x2 ^ 0.50533754)) + ((x2 * (x2 * -1.7537699e-5)) * x2)) + x2) + -5.642548))"
35,1.4861472e-10,"(((((x0 + -1.6525431e-6) * -0.9999642) + x0) + (x1 * -9.230072e-8)) * ((x0 * (x2 ^ 0.5223988)) + (((((x2 * x2) * x2) * -1.6150669e-5) + -5.548871) + x2))) + ((x1 + -0.46326733) * 1.0191651e-5)"
37,1.4252616e-10,"((x1 + -0.59265894) * 1.0189149e-5) + (((x0 * (x2 ^ 0.46617916)) + ((((x2 * (x2 * x2)) * -1.6497032e-5) + (x0 + x2)) + -5.548871)) * (((x1 * -9.2449945e-8) + x0) + ((x0 + -1.648439e-6) * -0.99996424)))"
39,1.3804932e-10,"((x1 + -0.59265894) * 1.0172359e-5) + (((x1 * -9.236884e-8) + (x0 + ((x0 + -1.6421516e-6) * -0.99996424))) * (((((x0 * (x2 ^ 0.46617916)) + x2) + x0) + (x0 + -5.548871)) + ((x2 * (x2 * x2)) * -1.6496182e-5)))"
