Complexity,Loss,Equation
1,1.8893826e-7,"3.2411226e-11"
3,9.1726584e-8,"x3 * 5.025993e-6"
5,9.126106e-8,"(x0 + x3) * 5.031287e-6"
7,4.0451773e-8,"(x3 + (x2 * x7)) * 4.320079e-6"
9,1.4526211e-8,"(x0 * (x6 * 2.7666085e-5)) + (x3 * 5.0765275e-6)"
11,1.0294609e-8,"(x3 * 5.007795e-6) + (((x0 + 0.054089826) * 2.8775885e-5) * x6)"
13,5.629571e-9,"(x3 * 9.334404e-6) + ((x6 * (x0 + (x3 * -0.002526451))) * 2.5966097e-5)"
15,5.2067057e-9,"(x3 * 9.864292e-6) + ((x6 * (x0 * 2.696687e-5)) + (x6 * (x3 * -6.995525e-8)))"
17,9.0207875e-10,"((x6 * x0) * 2.89214e-5) + ((x6 * ((x3 * -7.1231604e-8) + 1.4138084e-6)) + (x3 * 9.919331e-6))"
19,5.8778465e-10,"(((x3 * -7.253519e-8) + 1.4244865e-6) * x6) + ((x3 * 1.0016365e-5) + (x0 * ((x6 * 3.1925614e-5) + -0.0001586261)))"
21,5.7663013e-10,"(x6 * ((-7.253519e-8 * x3) + 1.4244865e-6)) + ((x3 * 1.0016365e-5) + ((((x6 + x0) * 3.194774e-5) + -0.0001586261) * x0))"
23,5.5789395e-10,"(x6 * ((-7.253519e-8 * ((x6 * x2) + x3)) + 1.4244865e-6)) + ((x3 * 1.0016365e-5) + (((x6 * 3.194774e-5) + -0.0001586261) * x0))"
25,5.508659e-10,"((x6 * ((((x6 * x2) + x3) * -7.253519e-8) + 1.4244865e-6)) + (x3 * 1.0016365e-5)) + ((((x6 + 0.54444844) * 3.194774e-5) + -0.0001586261) * x0)"
27,4.221879e-10,"(x0 * -0.00016526919) + (((x6 * ((x3 * -1.054734e-7) + 1.4254941e-6)) + ((x3 + ((x3 * x8) * 2.321436e-7)) * 1.1216328e-5)) + ((x0 * x6) * 3.2260767e-5))"
29,3.9997997e-10,"((x0 * (3.1286985e-5 * (x6 + 1.0319631))) + (x0 * -0.00016236835)) + (((x3 + ((x3 * x8) * 2.2162806e-7)) * 1.11003465e-5) + (((x3 * -1.0373013e-7) + 1.3917224e-6) * x6))"
31,3.787749e-10,"((x0 * -0.00016542344) + ((x0 * x6) * 3.201748e-5)) + (((((x3 + -0.6345892) + ((x3 * x8) * 2.3269061e-7)) * 1.0921248e-5) + (((x3 * -1.0366603e-7) + 1.5223858e-6) * x6)) * 1.0301518)"
33,3.6359818e-10,"(x0 * ((x0 + x6) * 3.201748e-5)) + ((((((x3 * (x8 * 2.3269062e-7)) + (x3 + -0.8004969)) * 1.0921248e-5) + (x0 * -0.00016542344)) + (((x3 * -1.0366583e-7) + 1.5223858e-6) * x6)) * 1.0319631)"
35,2.9911892e-10,"((((x3 * -1.08183805e-7) + 1.5177861e-6) * x6) + (x0 * -0.00016843657)) + (((x3 + (x3 * (x8 * 2.3817984e-7))) * 1.1344389e-5) + ((((x6 * (x6 * x6)) * -1.0225727e-5) + x6) * (x0 * 3.3643253e-5)))"
37,2.731447e-10,"((x3 + ((x3 * (x8 * 2.3817925e-7)) + -0.45285347)) * 1.1344389e-5) + (((((x3 * -1.08163e-7) + 1.5177866e-6) * x6) + (3.3643253e-5 * (x0 * (((x6 * x6) * (x6 * -1.0225727e-5)) + x6)))) + (x0 * -0.00016843657))"
39,2.5269206e-10,"(((x3 * -1.081833e-7) + 1.5177861e-6) * x6) + (((x0 * -0.00016843657) + ((x3 + (((x3 * x8) * 2.3817994e-7) + -0.68311644)) * 1.1344389e-5)) + ((x0 + (((x6 * x6) * (x6 * -1.0225727e-5)) + x6)) * (x0 * 3.3643253e-5)))"
41,2.2721347e-10,"((x3 + ((x3 * (x8 * 2.3981e-7)) + -0.68311644)) * 1.1330522e-5) + ((((((x6 + (x0 + x0)) + ((x6 * x6) * (x6 * -1.1449562e-5))) * x0) * 3.4089266e-5) + (((x3 * -1.0829673e-7) + 1.4963015e-6) * x6)) + (x0 * -0.00016917432))"
45,2.0833789e-10,"((((x3 * (x8 * 1.9177172e-7)) + -0.5809973) + x3) * 1.102895e-5) + ((((((x0 + ((x6 + (x6 + x3)) * ((x6 * x6) * -4.400097e-6))) + x6) + x0) * x0) * 3.363234e-5) + ((((x3 * -1.0079922e-7) + 1.501707e-6) * x6) + (x0 * -0.00016503928)))"
47,2.0689507e-10,"(((((x3 * x8) * 1.9177172e-7) + -0.5809973) + x3) * 1.102895e-5) + ((((-0.109021716 + x0) + (((((x6 + x6) + x3) * x6) * (x6 * -4.400097e-6)) + (x6 + x0))) * (x0 * 3.363234e-5)) + ((((x3 * -1.0079922e-7) + 1.501707e-6) * x6) + (x0 * -0.00016503928)))"
