Complexity,Loss,Equation
1,1.8893826e-7,"-8.0274065e-11"
3,9.172652e-8,"x3 * 5.022753e-6"
5,9.126111e-8,"(x0 + x3) * 5.0377025e-6"
7,4.0408313e-8,"((x2 * x7) + x3) * 4.461557e-6"
9,1.4515234e-8,"((x6 * (x0 * 5.4479218)) + x3) * 5.0377025e-6"
11,1.0437028e-8,"(x6 * ((x0 * 3.0307661e-5) + 1.5915127e-6)) + (x3 * 5.0894205e-6)"
13,1.000167e-8,"((x6 + -3.0821328) * ((x0 * 3.0307661e-5) + 1.5915127e-6)) + (x3 * 5.0894205e-6)"
15,5.227551e-9,"(((x6 * x3) * -0.007224287) + (((x6 * x0) * 2.8662808) + x3)) * 9.757724e-6"
17,9.0120933e-10,"((x3 * x6) * -7.260121e-8) + ((x6 * ((x0 * 2.9027926e-5) + 1.4163285e-6)) + (x3 * 1.0016503e-5))"
19,5.747488e-10,"((x3 * x6) * -7.179795e-8) + (((x6 + -5.1763196) * ((x0 * 3.1666386e-5) + 1.5495507e-6)) + (x3 * 9.9864865e-6))"
21,5.6716437e-10,"((x3 * ((x0 + x6) * -7.179795e-8)) + ((x6 + -5.1763196) * ((x0 * 3.1666386e-5) + 1.5495507e-6))) + (x3 * 9.9864865e-6)"
23,5.496584e-10,"((x3 * (x0 + x6)) * -7.179795e-8) + ((((x0 + x6) + -5.1763196) * ((3.1666386e-5 * x0) + 1.5495507e-6)) + (x3 * 9.9864865e-6))"
27,3.728744e-10,"(((x3 * x6) * -1.2695936e-7) + ((x6 + -4.4682684) * ((x0 * 3.1586795e-5) + 1.5682087e-6))) + (((x6 * (x6 * (x3 * 3.7317444e-5))) + x3) * 1.152028e-5)"
29,3.5463166e-10,"((x3 * (x6 * -1.2695936e-7)) + (((x0 + -4.4682684) + x6) * ((x0 * 3.1586795e-5) + 1.5682087e-6))) + (((x6 * (x6 * (x3 * 3.7317444e-5))) + x3) * 1.152028e-5)"
31,3.5016137e-10,"(((x3 * x6) * -1.2695936e-7) + (((x0 + x0) + (x6 + -4.944462)) * ((x0 * 3.1586795e-5) + 1.5682087e-6))) + ((x3 + (x6 * (x6 * (x3 * 3.7317444e-5)))) * 1.152028e-5)"
33,3.4269118e-10,"((x3 * (x6 * -1.2695936e-7)) + ((((x0 + 0.5772533) + x0) + (x6 + -5.1763196)) * ((x0 * 3.1586795e-5) + 1.5682087e-6))) + ((x3 + ((x6 * x6) * (x3 * 3.7317444e-5))) * 1.152028e-5)"
37,3.389647e-10,"((x6 * -1.2695936e-7) * x3) + (((((x0 + (x0 + 0.5772533)) + (0.5772533 * x0)) + (x6 + -5.1763196)) * ((x0 * 3.1586795e-5) + 1.5682087e-6)) + ((x3 + ((x6 * x6) * (x3 * 3.7317444e-5))) * 1.152028e-5))"
43,3.120031e-10,"((x3 + (x3 * (x6 * (x6 * 3.7317444e-5)))) * 1.152028e-5) + ((x3 * (x6 * -1.2695936e-7)) + (((x0 * 3.1586795e-5) + 1.5682087e-6) * ((((x0 + ((x6 + ((x3 * x6) + -5.1763196)) * -0.00016284616)) * (x0 + 2.154717)) + x6) + -5.1763196)))"
45,2.798428e-10,"(((x6 * -1.2372357e-7) * x3) + ((x0 + ((((x8 * -1.7542356e-5) + (x0 * ((x0 * 3.1535626e-5) + 2.7961609e-5))) + 0.8379321) + (x0 + (x6 + -7.665506)))) * ((x0 * 3.6954807e-5) + 1.7062971e-6))) + ((x3 + ((x6 * x6) * (x3 * 3.888842e-5))) * 1.1213241e-5)"
