Complexity,Loss,Equation
1,2.0104136e-7,"-6.7629156e-7"
3,5.7402122e-8,"x1 * 7.191831e-6"
5,5.6686357e-8,"(x0 + x1) * 7.211689e-6"
7,4.8899227e-9,"(x0 * 0.001056714) + (x1 * 7.191831e-6)"
9,2.0049675e-9,"((x1 * 7.191831e-6) + (x0 * 0.0011044524)) + 5.5777804e-5"
11,9.682726e-10,"(((x0 + 0.050027676) * x2) * 2.8579623e-5) + (x1 * 7.1905743e-6)"
13,9.366459e-10,"((x0 + x2) * ((x0 + 0.049097575) * 2.850882e-5)) + (x1 * 7.181992e-6)"
15,4.34137e-10,"((x0 + ((x1 * -0.0034225842) + 0.05051256)) * (x2 * 2.8588094e-5)) + (x1 * 1.1096686e-5)"
17,3.962875e-10,"(((x0 + x2) * ((x0 + 0.05051794) + (x1 * -0.00342395))) * 2.864121e-5) + (x1 * 1.1104082e-5)"
19,9.775143e-11,"(x1 * 1.0746646e-5) + ((((x1 * -0.0030846903) + x0) + 0.03215305) * ((x0 * 0.00044824416) + (x2 * 2.939506e-5)))"
21,5.969916e-11,"(x1 * 1.0483671e-5) + (((x0 + (x1 * -0.0028656956)) + 0.030511554) * ((x0 * 0.0004758866) + ((x2 + -3.8228838) * 3.2565717e-5)))"
23,5.951682e-11,"(x1 * 1.0483671e-5) + (((x0 + ((x1 + -0.13006717) * -0.0028656956)) + 0.030511554) * ((x0 * 0.0004758866) + ((-3.8228838 + x2) * 3.2565717e-5)))"
25,3.405118e-11,"(((((x1 * (x2 * -0.00029216567)) + x0) * 0.00031574978) + (x1 * 5.7372026e-6)) + 2.1881599e-5) * ((x2 * ((x1 * -9.963132e-5) + 0.12040949)) + -1.1844635)"
27,1.782822e-11,"(((((x1 * x2) * -0.00029023958) + x0) * 0.00031639927) + ((x1 * 5.719117e-6) + 2.137983e-5)) * (((x2 + x0) * ((x1 * -9.888772e-5) + 0.1204095)) + -1.1844635)"
29,1.2122219e-11,"((((x0 * 1.962698) + x2) * ((x1 * -9.889577e-5) + 0.120409496)) + -1.1844635) * (((x1 * 5.7412526e-6) + 2.1177295e-5) + (((x1 * (x2 * -0.0002909003)) + x0) * 0.00031707017))"
31,1.2082699e-11,"((((x0 * 1.962698) + x2) * (((x0 + x1) * -9.889577e-5) + 0.120409496)) + -1.1844635) * ((x1 * 5.7410452e-6) + ((((x1 * (x2 * -0.0002909003)) + x0) * 0.00031707014) + 2.1177202e-5))"
33,1.17260455e-11,"((((x0 + (x1 * (x2 * -0.00029054313))) * 0.00031677517) + (x1 * 5.731818e-6)) + 2.1208909e-5) * ((((x0 * 1.8891753) + x2) * 0.12040953) + (((x1 * (x2 + 2.4277532)) * -9.387668e-5) + -1.1844635))"
35,1.068043e-11,"((((((x2 * x1) * -0.00028986903) + x0) * 0.00031390943) + (x1 * 5.6724884e-6)) + 2.0849104e-5) * (((((x0 * 2.0016384) + (x2 + 0.2758166)) * 0.12040951) + ((x2 + 4.1895437) * (x1 * -9.045544e-5))) + -1.1844635)"
37,1.0584811e-11,"((x1 * 5.6724944e-6) + (((((x1 * x2) * -0.00028986903) + x0) * 0.00031390943) + 2.0849104e-5)) * ((((x0 * 2.0016384) + (x2 + 0.2758166)) * 0.12040951) + (((x2 + (x0 + 4.189538)) * (x1 * -9.045544e-5)) + -1.1844635))"
39,1.0506906e-11,"(((((x2 * (x1 * -0.00028986903)) + x0) * 0.00031390943) + (x1 * 5.6724944e-6)) + 2.0849104e-5) * ((((((x0 * 2.0016384) + x2) + 0.2758166) * 0.12040951) + (((x2 + (x0 * 2.0016384)) + 4.189538) * (x1 * -9.045544e-5))) + -1.1844635)"
