Complexity,Loss,Equation
1,2.2627898e-7,"-5.3844184e-7"
3,7.473469e-8,"x1 * 6.6898942e-6"
5,7.398891e-8,"(x0 + x1) * 6.7061605e-6"
7,8.9429e-9,"((x1 * 0.005690454) + x0) * 0.0011771191"
9,5.339835e-9,"((x0 + 0.04689827) * 0.0012413539) + (x1 * 6.7061605e-6)"
11,2.2347717e-9,"((x2 * (x0 + 0.049140662)) * 2.9384566e-5) + (x1 * 6.6979533e-6)"
13,2.2070374e-9,"((x1 * 0.23033758) + ((x2 + x0) * (x0 + 0.04912761))) * 2.9185358e-5"
15,1.6016511e-9,"(x1 + ((((x0 + x0) + (x1 * -0.0112907635)) * x2) + 4.1338353)) * 1.3827772e-5"
17,7.1436634e-10,"((x1 + 6.2702627) + (x2 * ((x0 + ((x1 * -0.0071852524) + x0)) + x0))) * 9.897379e-6"
19,5.454606e-10,"(((x2 + -3.7556095) * ((x1 * -0.008918658) + (x0 + (x0 + x0)))) + (x1 + 5.720139)) * 1.0636526e-5"
21,3.2846273e-10,"(x1 + ((x2 * (x0 + (((x1 * -0.0076358374) + (x0 + x0)) + (x0 * x0)))) + 4.344596)) * 1.0193283e-5"
23,2.25428e-10,"((x1 + ((x2 + -3.3634863) * (x0 + ((x0 * x0) + (x0 + (x0 + (x1 * -0.0091596395))))))) + 4.109777) * 1.0884179e-5"
25,1.5658733e-10,"((((x0 + x0) + (((x1 * -0.0089185955) + (x0 * x0)) + x0)) * (x2 + -2.8254848)) + ((x2 * 0.09392472) + x1)) * 1.0782336e-5"
27,1.3674978e-10,"(((x2 * 0.090458706) + x1) + (((x2 + x0) + -3.1443048) * (((x1 * -0.0090985) + (x0 + (x0 + x0))) + (x0 * x0)))) * 1.0865776e-5"
29,1.2276526e-10,"(((x2 * 0.090456866) + x1) + (((x2 + x0) + (x0 + -3.1443048)) * (((-0.009126631 * x1) + x0) + ((x0 + x0) + (x0 * x0))))) * 1.08771865e-5"
31,1.106106e-10,"(((x2 * 0.08556849) + (((x0 + ((x0 + (x0 * x0)) + x0)) + (x1 * -0.009120916)) * (((x2 + -3.0549173) + x0) + (x0 + x0)))) + x1) * 1.0870343e-5"
33,7.4882676e-11,"(((((x0 * ((x1 * -0.042131573) + -5.28154)) + (x2 * 0.040486313)) * 2.175297) + x1) + (x2 * ((x1 * -0.008809773) + ((x0 + (x0 + x0)) + (x0 * x0))))) * 1.1068514e-5"
35,7.2103074e-11,"(x1 + ((((x0 * ((x1 * -0.029580718) + -5.28154)) + (x2 * 0.040479)) * 2.175297) + ((x2 + x0) * (x0 + ((x0 * x0) + ((x1 * -0.008820073) + (x0 + x0))))))) * 1.1081141e-5"
37,6.930056e-11,"((x1 + (((x0 * ((x1 * -0.029580045) + -5.28154)) + (x2 * 0.04085636)) * 2.175297)) + ((x2 + x0) * ((x1 * -0.008716126) + ((x0 + (((x0 * x0) + x0) + x0)) * 1.012277)))) * 1.0996e-5"
39,6.83197e-11,"((x1 + (((x0 * ((x1 * -0.029580045) + -5.28154)) + ((x2 + -1.7376016) * 0.04085636)) * 2.175297)) + ((x2 + x0) * ((x1 * -0.008716126) + ((x0 + (((x0 * x0) + x0) + x0)) * 1.012277)))) * 1.0996e-5"
