Complexity,Loss,Equation
1,2.4040318e-7,"-4.5987298e-7"
3,8.6142435e-8,"x1 * 6.3792477e-6"
5,8.538882e-8,"(x0 + x1) * 6.395814e-6"
7,1.2253689e-8,"((x1 * 0.005095963) + x0) * 0.0012505429"
9,7.768277e-9,"(x1 * 6.395814e-6) + ((x0 * x2) * 2.8085435e-5)"
11,3.4560594e-9,"((x0 + 0.049337745) * (2.9457213e-5 * x2)) + (x1 * 6.394977e-6)"
13,3.3654342e-9,"((x0 + 0.051831547) * ((x2 + -5.973954) * 3.3602137e-5)) + (x1 * 6.3356456e-6)"
15,4.810559e-10,"((x0 + 0.049337745) * (x2 * 2.9457213e-5)) + (x1 * ((x2 * -9.124316e-8) + 1.0846087e-5))"
17,3.7404632e-10,"(x1 * ((-8.876947e-8 * x2) + 1.0710443e-5)) + (((x0 + 0.048434086) * 3.4009507e-5) * (x2 + -6.105488))"
19,3.3657058e-10,"((x0 + 0.048434086) * ((x2 + (x0 + -6.105488)) * 3.4009507e-5)) + (x1 * ((x2 * -8.876947e-8) + 1.0710443e-5))"
21,2.8418373e-10,"((((x2 + -4.5748854) + (x0 * 3.5422864)) * (x0 + 0.04729361)) * 3.310123e-5) + (x1 * ((x2 * -8.83684e-8) + 1.0728306e-5))"
23,1.9624992e-10,"((x2 * ((x0 + 0.034595136) * 3.0539777e-5)) + (x1 * (x2 * -8.976397e-8))) + ((x0 * (x0 * 0.00046128774)) + (x1 * 1.0775768e-5))"
25,1.4541872e-10,"(x2 * ((x0 * 3.433684e-5) + 1.0495568e-6)) + ((x1 * 1.0863936e-5) + ((x0 * ((x0 + -0.3771432) * 0.00046522793)) + ((x1 * -9.142302e-8) * x2)))"
27,1.02248474e-10,"(((((x1 * -8.9208136e-8) * x2) + ((x0 + 0.0448548) * (x2 * 3.4780238e-5))) + (x0 * ((x0 + -0.36403665) * 0.0005322439))) + (x1 * 1.07462065e-5)) + -2.760356e-5"
29,8.905933e-11,"((x0 * 0.0005322439) * (x0 + -0.36403665)) + ((((((x2 + x0) * x1) * -8.920836e-8) + ((x0 + 0.0448548) * (3.4780238e-5 * x2))) + (1.07462065e-5 * x1)) + -2.760356e-5)"
31,4.308438e-11,"((x1 * ((x0 * 9.956636) + x2)) * -8.941798e-8) + ((((x0 + 0.045032606) * (x2 * 3.608151e-5)) + ((x0 + -0.58271074) * (x0 * 0.00044587255))) + ((x1 + -2.4617453) * 1.0712946e-5))"
33,3.2529597e-11,"((x0 * ((x0 + -0.5829804) + x0)) * 0.00026963718) + ((x1 * ((x2 + (x0 * 9.956636)) * -8.969164e-8)) + (((x0 + 0.045029406) * (x2 * 3.4013803e-5)) + ((x1 + -2.4617453) * 1.0726138e-5)))"
35,2.8441154e-11,"(((((x0 + x0) + -0.68033034) * 0.00026381406) * x0) + ((x1 * (-9.071779e-8 * ((x0 * (0.20257565 * x2)) + x2))) + (x2 * (3.4462122e-5 * (x0 + 0.045040175))))) + ((x1 + -2.4617453) * 1.0778218e-5)"
37,2.8296284e-11,"(x1 * (((x0 * ((x2 * 0.20256488) + x0)) + x2) * -9.071779e-8)) + (((x1 + -2.4617453) * 1.0778218e-5) + ((((x0 + -0.68242466) + x0) * (0.00026381406 * x0)) + (x2 * ((x0 + 0.045040175) * 3.4462122e-5))))"
39,2.818619e-11,"(((x1 * -9.061338e-8) * ((x0 * (x0 + ((x2 * 0.20256488) + x0))) + x2)) + ((x1 + -2.4617453) * 1.0778219e-5)) + ((((x0 + 0.045040175) * 3.4462122e-5) * x2) + ((x0 * 0.00026381406) * ((x0 + -0.68242466) + x0)))"
