Complexity,Loss,Equation
1,2.404032e-7,"-3.623668e-7"
3,8.6142435e-8,"x1 * 6.379921e-6"
5,8.538882e-8,"6.3937587e-6 * (x0 + x1)"
7,1.2255702e-8,"(x0 * 0.0012543926) + (x1 * 6.362307e-6)"
9,7.766674e-9,"((x2 * x0) * 2.7990442e-5) + (x1 * 6.38805e-6)"
11,3.458133e-9,"(x1 * 6.39925e-6) + (x2 * ((x0 + 0.049068894) * 2.9405795e-5))"
13,3.4275298e-9,"(x1 * 6.39925e-6) + (((x2 + x0) * (x0 + 0.049068894)) * 2.9405795e-5)"
15,5.111521e-10,"(x1 + (x2 * (((x0 + (x1 * -0.0027343882)) * 2.8753588) + 0.14386944))) * 1.0376661e-5"
17,4.6787907e-10,"(x1 + (((((x1 * -0.0027605544) + x0) * 2.8753588) + 0.14386882) * (x0 + x2))) * 1.039039e-5"
19,3.4066833e-10,"((((x0 + 3.4646344) * ((x0 + (x2 * (x1 * -3.1295785e-5))) * x2)) + x1) * 8.707599e-6) + 4.8930327e-5"
21,2.8874156e-10,"((x1 + ((x2 * (x0 + 3.4646344)) * (((x1 + -3.4483495) * (x2 * -3.159787e-5)) + x0))) * 8.7071585e-6) + 4.1033498e-5"
23,2.328881e-10,"(((((x0 + 3.5575564) * (x0 + ((((x2 * -0.19717832) + x1) * -2.916287e-5) * x2))) * x2) + 3.563067) + x1) * 8.552974e-6"
25,2.1317897e-10,"((x1 + ((x2 + -4.7948117) * (((x0 + (((x2 * -5.6686495e-5) * x1) + 0.020114144)) + x0) * (x0 + 2.0222793)))) * 8.524289e-6) + 2.2520935e-5"
27,1.072759e-10,"((x1 + (((x0 + 2.0222793) * (x2 + -4.794843)) * ((x0 + x0) + (x1 * ((x2 * -5.65405e-5) + (x1 * 4.430895e-6)))))) * 8.537995e-6) + 2.3513883e-5"
29,1.02918875e-10,"((((x0 + 2.0222793) * (((x0 + x0) + (x1 * ((4.011804e-6 * x1) + (x2 * -5.65405e-5)))) * (x2 + (-4.8033533 + x0)))) + x1) * 8.537995e-6) + 2.3513883e-5"
31,1.01764853e-10,"2.3513883e-5 + ((((((((x2 * -5.65405e-5) + (4.430895e-6 * (x1 + (x0 * x2)))) * x1) + x0) + x0) * ((2.0222793 + x0) * (-4.7948117 + x2))) + x1) * 8.537995e-6)"
33,9.643378e-11,"2.3513883e-5 + ((((((((x2 * -5.65405e-5) + (4.430895e-6 * (x1 + (x0 * x2)))) * x1) + (x0 + x0)) * (2.0222793 + x0)) * ((x0 + -4.7948117) + x2)) + x1) * 8.537995e-6)"
35,9.5201416e-11,"((x1 + (((x1 * ((x2 * -5.65405e-5) + ((x1 + (x0 * (x2 + x2))) * 4.430895e-6))) + (x0 + x0)) * ((x0 + 2.0222793) * (x2 + (-4.7948117 + x0))))) * 8.537995e-6) + 2.3513883e-5"
37,9.222163e-11,"((x1 + (((2.0222793 + x0) * (((x1 * ((x1 + (x2 * x0)) * 4.4108638e-6)) + (x0 + (-5.673784e-5 * (x2 * x1)))) + x0)) * (-4.8479934 + (x0 + (x2 + x0))))) * 8.547272e-6) + 2.1260741e-5"
39,8.932273e-11,"((x1 + ((((x0 + x2) + x0) + -4.8479934) * ((x0 + 2.0222793) * (((x1 * ((x1 + ((x2 + x2) * x0)) * 4.4108638e-6)) + (x0 + ((x2 * x1) * -5.673784e-5))) + x0)))) * 8.547272e-6) + 2.1260741e-5"
