Complexity,Loss,Equation
1,2.5652037e-7,"-1.9724513e-7"
3,1.0088609e-7,"x1 * 5.9954273e-6"
5,1.001324e-7,"6.0122256e-6 * (x1 + x0)"
7,1.728459e-8,"(x1 * 6.0122256e-6) + (x0 * 0.0013062106)"
9,1.0469908e-8,"(x1 * 5.967103e-6) + ((x0 * x2) * 2.8158855e-5)"
11,5.4939027e-9,"(x1 * 6.005474e-6) + (((x0 + 0.049604036) * 2.9505029e-5) * x2)"
13,5.4668106e-9,"(x1 * 6.005755e-6) + ((x0 + x2) * (2.9505029e-5 * (x0 + 0.04957453)))"
15,4.844989e-10,"(x1 * 1.0457571e-5) + ((((x1 * -8.260266e-8) + 1.472787e-6) + (x0 * 2.9560646e-5)) * x2)"
17,3.926732e-10,"((x2 + -5.9930573) * ((x0 * 3.363606e-5) + ((x1 * -8.322647e-8) + 1.6685735e-6))) + (x1 * 9.978463e-6)"
19,1.7366804e-10,"(x1 * 1.0482397e-5) + ((((x1 * -8.399832e-8) + 1.169191e-6) + (x0 * 3.0205807e-5)) * ((x0 * 12.884073) + x2))"
21,1.08247945e-10,"(x1 * 1.0121845e-5) + ((((x0 * 12.916773) + x2) + -3.811432) * ((x1 * -8.32015e-8) + ((x0 * 3.2650805e-5) + 1.2028904e-6)))"
23,7.766532e-11,"((((x0 * 3.351282e-5) + ((x1 * -8.311353e-8) + 1.6810479e-6)) * ((x0 * 13.168922) + (x2 + -5.2178593))) + -2.0405007e-5) + (x1 * 9.968675e-6)"
25,7.726597e-11,"(((x1 * -8.320491e-8) + ((x0 * 3.363606e-5) + 1.6685731e-6)) * ((((x0 + x0) * 6.4036436) + -5.3370776) + x2)) + ((x1 * 9.978463e-6) + -1.8797444e-5)"
27,5.8311675e-11,"(x1 * 9.351601e-6) + (((((x0 * 5.3017848e-5) + ((x0 * x2) * -2.2157658e-7)) + 1.5257324e-6) + (x1 * -8.359234e-8)) * (((x0 * 10.446983) + x2) + -13.206462))"
29,4.4852438e-11,"((((x0 * 5.060449e-5) + (((x2 * -1.932758e-7) * x0) + ((x1 * -8.359681e-8) + 1.7772414e-6))) * (((x0 * 11.8877325) + x2) + -12.464566)) + (x1 * 9.401129e-6)) + -1.38965215e-5"
31,4.443947e-11,"(((((x0 * 11.8877325) + x2) + -12.464566) * (((x0 * 5.060449e-5) + (1.7772414e-6 + (x1 * -8.359681e-8))) + (((x2 + x0) * x0) * -1.932758e-7))) + (9.401129e-6 * x1)) + -1.38965215e-5"
33,4.436094e-11,"((x1 * 9.401129e-6) + (((x2 + -12.464566) + (x0 * 11.8877325)) * (((x1 * -8.359681e-8) + ((((x2 + x0) + x0) * -1.932758e-7) * x0)) + ((x0 * 5.060449e-5) + 1.7772414e-6)))) + -1.38965215e-5"
37,4.393019e-11,"(((-8.359681e-8 * x1) + ((x0 * 5.060449e-5) + (1.7772414e-6 + (((((0.022579188 * x0) * (x2 + -1.38965215e-5)) + x2) * x0) * -1.932758e-7)))) * (x2 + (-12.464566 + (x0 * 11.8877325)))) + ((x1 * 9.401129e-6) + -1.38965215e-5)"
