Complexity,Loss,Equation
1,2.9106607e-7,"-1.6815509e-8"
3,1.3701724e-7,"x1 * 5.163234e-6"
5,1.3628494e-7,"5.176401e-6 * (x0 + x1)"
7,3.0655467e-8,"(x1 * 5.131287e-6) + (x0 * 0.0015126766)"
9,1.7965343e-8,"(x1 * 5.173077e-6) + (x0 * (x2 * 2.7830938e-5))"
11,1.1401701e-8,"(((x0 + 0.04994382) * 2.9388895e-5) * x2) + (x1 * 5.176401e-6)"
13,7.145848e-9,"(x1 * 1.0010445e-5) + (((x1 * -7.40974e-8) + (x0 * 2.8179578e-5)) * x2)"
15,5.5311883e-10,"(x2 * (((x0 * 2.9457438e-5) + (x1 * -7.250024e-8)) + 1.4588311e-6)) + (x1 * 9.929688e-6)"
17,5.134693e-10,"(9.929688e-6 * x1) + ((x0 + x2) * (((-7.250024e-8 * x1) + (2.9457438e-5 * x0)) + 1.4588311e-6))"
19,3.1111047e-10,"(((x0 * 13.513877) + x2) * ((x1 * -7.1493666e-8) + ((x0 * 2.9895935e-5) + 1.208403e-6))) + (x1 * 9.814919e-6)"
21,2.769995e-10,"(x1 * 9.85569e-6) + ((((x0 * 13.513877) + x2) * (((x0 * 2.9805395e-5) + (x1 * -7.1897595e-8)) + 1.5095111e-6)) + -1.7606028e-5)"
23,2.6611957e-10,"(9.865774e-6 * x1) + (-1.7947488e-5 + (((1.498013e-6 + (-7.288005e-8 * x1)) + (3.0286606e-5 * x0)) * (((x0 * 13.087731) + -0.88629264) + x2)))"
25,2.6577246e-10,"(((((x0 * 3.0286606e-5) + 1.498013e-6) + ((x1 + x0) * -7.288005e-8)) * ((x2 + (x0 * 13.087731)) + -0.88629264)) + -1.7947488e-5) + (x1 * 9.865774e-6)"
27,1.790607e-10,"(((x0 * 10.116191) + x2) * (((x0 * 2.9741139e-5) + 1.2551873e-6) + ((x1 + ((x1 * x2) * (x2 * -2.4743162e-5))) * -1.07428626e-7))) + (x1 * 1.1262137e-5)"
29,1.5965752e-10,"((x1 * 1.1213344e-5) + -1.470929e-5) + ((((x1 + (((x1 * x2) * x2) * -2.5222374e-5)) * -1.0736308e-7) + ((x0 * 2.9841127e-5) + 1.4735075e-6)) * (x2 + (x0 * 11.15272)))"
31,1.5659264e-10,"((x1 * 1.1009328e-5) + -1.3193385e-5) + ((x2 + ((x0 * 10.116191) + -0.95553815)) * ((((((x1 * -2.262349e-5) * (x2 * x2)) + x1) * -1.03255346e-7) + 1.5130693e-6) + (x0 * 3.0202673e-5)))"
33,1.5437779e-10,"((x1 * 7.4085674e-6) + ((((-0.95553815 + (x0 * 10.116191)) + x2) * ((2.0325268e-5 * x0) + (9.873745e-7 + ((((x1 * x2) * (x2 * -2.316853e-5)) + x1) * -6.966518e-8)))) + -7.889298e-6)) * 1.4867527"
35,1.511854e-10,"((x1 * 7.3777915e-6) + (((((x0 * 2.032719e-5) + 9.744807e-7) + (((x1 * ((x2 * x2) * -2.3168484e-5)) + x1) * -6.9279764e-8)) * ((x2 + (x0 + -0.95553815)) + (x0 * 10.116191))) + -7.88943e-6)) * 1.4867527"
37,1.5066876e-10,"(((x1 * 7.3777915e-6) + ((((x0 * 2.032719e-5) + 9.744807e-7) + ((((x1 * (x2 + x0)) * (x2 * -2.3168484e-5)) + x1) * -6.9279764e-8)) * ((x2 + (x0 + -0.95553815)) + (x0 * 10.116191)))) + -7.88943e-6) * 1.4867527"
39,1.4779349e-10,"(((x1 * 7.3812575e-6) + -7.889512e-6) + (((x0 + -0.95553815) + (x2 + (x0 * 10.116191))) * ((x0 * 2.0326395e-5) + (((((x2 * ((x0 * 10.116191) + x2)) * (x1 * -2.3167608e-5)) + x1) * -6.928637e-8) + 9.739031e-7)))) * 1.4867527"
