Complexity,Loss,Equation
1,2.9106607e-7,"-1.4179757e-8"
3,1.3701721e-7,"x1 * 5.1660704e-6"
5,1.3628492e-7,"(x0 + x1) * 5.1771817e-6"
7,3.068314e-8,"(x0 * 0.0015012799) + (x1 * 5.0803196e-6)"
9,1.796437e-8,"(x0 * (2.7996979e-5 * x2)) + (x1 * 5.170167e-6)"
11,1.1401946e-8,"(x1 * 5.1528596e-6) + (((x0 + 0.04994404) * x2) * 2.9517403e-5)"
13,7.1393282e-9,"(((x1 * -7.1268914e-8) + (x0 * 2.7857346e-5)) * x2) + (x1 * 9.8238015e-6)"
15,5.5318267e-10,"(x1 * 9.960073e-6) + (x2 * ((x1 * -7.257381e-8) + ((x0 * 2.9474526e-5) + 1.4768193e-6)))"
17,5.1525184e-10,"((x2 + x0) * ((x0 * 2.9562489e-5) + ((x1 * -7.416569e-8) + 1.449329e-6))) + (x1 * 1.0052971e-5)"
19,3.035696e-10,"(((x1 * -7.2390264e-8) + ((x0 * 2.972849e-5) + 1.2331423e-6)) * (x2 + (x0 * 10.688257))) + (x1 * 9.887276e-6)"
21,2.8131159e-10,"((((x0 * 2.970022e-5) + ((x1 * -7.236869e-8) + 1.538529e-6)) * (x2 + (x0 * 14.809233))) + (x1 * 9.887938e-6)) + -2.4772475e-5"
23,2.6912556e-10,"(((x2 * 1.430353e-6) + -1.48575255e-5) + ((x2 + (x0 * 12.74979)) * ((x1 * -7.3153885e-8) + (x0 * 3.0005669e-5)))) + (x1 * 9.941192e-6)"
25,2.6885338e-10,"((((x2 + x0) * 1.430353e-6) + -1.48575255e-5) + (((x1 * -7.3153885e-8) + (x0 * 3.0005669e-5)) * (x2 + (x0 * 12.74979)))) + (x1 * 9.941192e-6)"
27,1.8411077e-10,"(x1 * 1.107162e-5) + ((x2 + (x0 * 11.934572)) * ((((x1 + ((x1 * (x2 * x2)) * -2.3631406e-5)) * -1.03560964e-7) + (x0 * 2.9848848e-5)) + 1.2326763e-6))"
29,1.7759008e-10,"((x1 + -0.19537182) * 1.107162e-5) + ((x2 + (x0 * 11.934572)) * (((x1 + (((x2 * x1) * x2) * -2.3631406e-5)) * -1.03560964e-7) + ((x0 * 2.9848848e-5) + 1.2326763e-6)))"
31,1.7040915e-10,"(x2 * 1.3261034e-6) + (((x2 + (x0 * 11.485578)) * ((((x2 * (x2 * (x1 * -2.1301385e-5))) + x1) * -9.8138464e-8) + (x0 * 2.9994813e-5))) + ((x1 + -0.6892334) * 1.0823612e-5))"
33,1.6947847e-10,"(((x2 + (x0 * 11.485578)) * ((x0 * 2.9994811e-5) + ((((x2 + (x1 * x2)) * (x2 * -2.1301385e-5)) + x1) * -9.827807e-8))) + (x2 * 1.3260917e-6)) + ((x1 + -0.70310974) * 1.0823608e-5)"
35,1.6691035e-10,"(((((x1 + (((x2 + (x1 * x2)) * x2) * -2.0150534e-5)) * 2.1870532e-7) + (x0 * -6.664198e-5)) * ((x0 * 11.485578) + x2)) + ((x2 * -2.9203532e-6) + ((x1 + -0.70310974) * -2.4211497e-5))) * -0.45121711"
37,1.6450369e-10,"((x2 * -2.9164003e-6) + (((x1 + -0.70310974) * -2.419145e-5) + ((((x1 + (((x2 + x2) + (x1 * x2)) * (x2 * -2.0426689e-5))) * 2.187922e-7) + (x0 * -6.674189e-5)) * ((x0 * 11.485578) + x2)))) * -0.45121711"
39,1.5933092e-10,"(((((x1 + ((((x1 + x1) * x1) + ((x2 * x1) * x2)) * -2.0150534e-5)) * 2.1870532e-7) + (x0 * -6.664198e-5)) * ((x0 * 11.485578) + x2)) + ((x2 * -2.9203532e-6) + ((x1 + -0.70310974) * -2.4211497e-5))) * -0.45121711"
