Complexity,Loss,Equation
1,4.9592063e-7,"1.3613164e-6"
3,1.9848116e-7,"x0 * 0.0025153877"
5,1.8212945e-7,"(x0 * 0.0026531422) + 0.00013150797"
7,1.7519094e-8,"(x1 * 3.4115255e-6) + (x0 * 0.0025215815)"
9,1.0248831e-9,"((x1 * 3.4225882e-6) + 0.00013160922) + (x0 * 0.0026531422)"
11,7.726444e-10,"(x1 * 3.4158127e-6) + (x2 * ((x0 * 2.8576733e-5) + 1.4126704e-6))"
13,7.6753626e-10,"(x1 * 3.4158127e-6) + (((x0 * 2.8576733e-5) + 1.4126704e-6) * (x2 + x0))"
15,2.074751e-10,"(x2 * (((x1 * -0.0015071116) + (x0 + 0.05089156)) * 2.8500797e-5)) + (x1 * 7.4256536e-6)"
17,1.957069e-10,"(((x2 + x0) * (((x1 * -0.001506384) + 0.050892323) + x0)) * 2.8505645e-5) + (x1 * 7.4242867e-6)"
19,1.5328451e-10,"(x0 * 0.0008482331) + (0.00013213781 + ((x1 + (2.5388637 * (((x1 * -0.0023324222) + x0) * x2))) * 7.64644e-6))"
21,1.3276406e-10,"(((((x0 + x2) * ((x0 + (x1 * -0.0023346457)) * 2.5388637)) + x1) * 7.642918e-6) + 0.00013013848) + (x0 * 0.0008462207)"
23,1.05520905e-10,"(x0 * 0.0008462207) + (((x1 + (((2.5388637 * x0) + x2) * (((x1 * -0.0023346457) + x0) * 2.5388637))) * 7.642918e-6) + 0.00013013848)"
25,2.7945606e-11,"(((x1 * x0) * -6.035753e-7) + 0.00013131431) + (((x1 + ((x2 * ((x1 * -0.0024742621) + x0)) * 2.3600788)) * 7.447891e-6) + (x0 * 0.0010163775))"
27,2.5994566e-11,"((x1 * -5.3488554e-7) * x0) + ((((x1 + ((x0 + x2) * ((x0 + (x1 * -0.002603268)) * 2.3056827))) * 7.709757e-6) + 0.00013063141) + (x0 * 0.0010004863))"
29,1.0800559e-11,"((x0 * 0.0008369699) + (((x0 * (x1 * -0.08352121)) + (x1 + (((((x1 + x1) * -0.0011414997) + (x0 + 0.055443726)) * x2) * 2.5861945))) * 7.5464345e-6)) + 3.1150976e-5"
31,7.3564e-12,"((x0 * 0.0008368016) + (((((x0 + x2) * 2.5861945) * ((x0 + 0.055443723) + ((x1 + x1) * -0.0011418469))) + (x1 + (x1 * (x0 * -0.07409703)))) * 7.55285e-6)) + 3.0129253e-5"
33,4.9458168e-12,"(((x1 + (((x2 + (x0 + x0)) * ((((x1 + x1) * -0.0011410753) + (x0 + 0.055443723)) * 2.5861945)) + (x1 * (x0 * -0.067295015)))) * 7.5503144e-6) + (x0 * 0.0008383776)) + 2.943583e-5"
35,3.4356263e-12,"((x0 * 0.0008383325) + ((x1 + (((((x1 + x1) * -0.0011414984) + (x0 + 0.055443723)) * ((x0 + ((x0 + x2) + x0)) * 2.5861945)) + ((x0 * x1) * -0.06119908))) * 7.552975e-6)) + 2.8177345e-5"
37,2.9949264e-12,"(x0 * 0.0008384013) + (((x1 + ((((0.055443723 + x0) + (-0.0011421574 * (x1 + x1))) * (((x0 + ((x2 + x0) + x0)) + x0) * 2.5861945)) + (x0 * (x1 * -0.06119908)))) * 7.552764e-6) + 2.8153248e-5)"
