Complexity,Loss,Equation
1,4.9592063e-7,"1.500637e-6"
3,1.9848112e-7,"x0 * 0.0025139384"
5,1.8212943e-7,"(x0 * 0.0026492425) + 0.0001311512"
7,1.7519756e-8,"((x1 * 0.0013568617) + x0) * 0.0025217365"
9,1.0247387e-9,"((x1 * 3.4165273e-6) + 0.00013173577) + (x0 * 0.0026484465)"
11,7.717401e-10,"(x2 * ((x0 * 2.8444842e-5) + 1.4111489e-6)) + (x1 * 3.4178697e-6)"
13,7.1073647e-10,"(((x0 * 1.8964638e-5) + 9.39779e-7) * (x2 + 46.710102)) + (x1 * 3.4168033e-6)"
15,1.9875498e-10,"((((x1 * -4.306636e-8) + (x0 * 2.8443754e-5)) + 1.411149e-6) * x2) + (x1 * 7.4372915e-6)"
17,1.432119e-10,"(x1 * 1.0037118e-5) + ((x2 + 61.984486) * (((x1 * -4.2614488e-8) + 8.4563555e-7) + (x0 * 1.7126455e-5)))"
19,1.2242043e-10,"(x1 * 1.0037118e-5) + (((x0 * 1.7126455e-5) + ((x1 * -4.2614488e-8) + 8.4563555e-7)) * (61.984486 + (x2 + x0)))"
21,1.04657304e-10,"((((x0 * 1.7188637e-5) + (x1 * -4.2674476e-8)) + 8.434623e-7) * ((x2 + 61.670906) + (x0 + x0))) + (1.00288635e-5 * x1)"
23,7.107979e-11,"(((x0 * -9.845517e-7) + 5.4007223e-6) * (x1 + (x2 * (x1 * (x2 * -4.2712523e-5))))) + (x2 * ((x0 * 2.846862e-5) + 1.412105e-6))"
25,9.475205e-12,"((((x2 * (x2 * x1)) * -4.2632033e-5) + x1) * ((x0 * -9.4361593e-7) + 5.397189e-6)) + (((x0 * 1.9867415e-5) + 9.860778e-7) * (x2 + 40.546127))"
27,3.619342e-12,"(((-4.3344386e-5 * (((x2 * x2) + x1) * x1)) + x1) * 5.4525303e-6) + (((x0 * ((x1 * -4.254161e-9) + 1.8939416e-5)) + 9.672283e-7) * (x2 + 47.03861))"
29,2.2619883e-12,"(((x2 + 40.57083) * ((x0 * 1.9859148e-5) + 1.0147454e-6)) + (((x1 * (((x2 * x2) + x1) * -4.29536e-5)) + x1) * 5.4233406e-6)) + ((x1 * -6.014345e-7) * x0)"
31,2.235836e-12,"(((x2 + 40.546127) * ((x0 * 1.9856383e-5) + 1.0142371e-6)) + ((x1 + ((x1 * -4.3056258e-5) * ((x2 * x2) + (x1 * 1.030492)))) * 5.4293464e-6)) + (x1 * (x0 * -6.026159e-7))"
33,2.2110586e-12,"(((x0 * -6.033113e-7) * x1) + (((x0 * 1.986466e-5) + 1.0139505e-6) * (x2 + 40.546127))) + ((((x0 * x0) + (((x1 + (x2 * x2)) * x1) * -4.3146676e-5)) + x1) * 5.4358366e-6)"
35,2.0511253e-12,"(((((x2 * x2) + x1) * (x1 * -4.2855998e-5)) + x1) * 5.414819e-6) + (((x0 * (((x0 * x0) * x2) + x1)) * -5.942853e-7) + (((x0 * 1.988685e-5) + 1.0131522e-6) * (x2 + 40.57083)))"
37,2.023917e-12,"(((x0 * -6.041624e-7) * (x1 + (((x2 * x0) * x0) + -2.4161355))) + ((x2 + 40.546127) * ((x0 * 1.9880647e-5) + 1.0120582e-6))) + ((x1 + (((x2 * x2) + x1) * (x1 * -4.3064025e-5))) * 5.4288475e-6)"
39,2.0168888e-12,"((((x0 * 1.9880647e-5) + 1.0120582e-6) * (x2 + 40.546127)) + ((((x1 + (x2 * x2)) * (x1 * -4.3064025e-5)) + x1) * 5.4288475e-6)) + (x0 * (((((x0 * x2) + -1.1583709) * x0) + (x1 + -2.4161355)) * -6.041624e-7))"
