Complexity,Loss,Equation
1,4.9592063e-7,"1.341774e-6"
3,1.9848112e-7,"0.002514629 * x0"
5,1.8212972e-7,"(x0 * 0.0026485578) + 0.00013071299"
7,1.7516841e-8,"(x1 * 3.4151117e-6) + (x0 * 0.0025154995)"
9,1.0245743e-9,"(x1 * 3.4151117e-6) + ((x0 * 0.0026550833) + 0.00013221287)"
11,7.8079043e-10,"(x2 * ((x0 * 2.8507262e-5) + 1.3909266e-6)) + (x1 * 3.4337613e-6)"
13,7.2888257e-10,"(x0 * ((x2 * 1.9851259e-5) + 0.0008054805)) + ((x1 * 3.4262446e-6) + 0.00013177925)"
15,2.4249847e-10,"((((x1 * -4.7639602e-8) + (x0 * 2.8523551e-5)) * x2) + 0.00012930749) + (x1 * 7.866611e-6)"
17,1.9733377e-10,"((x2 * ((x1 * -4.5155538e-8) + 1.4182332e-6)) + (x1 * 7.632434e-6)) + (x0 * (x2 * 2.8512633e-5))"
19,1.3983084e-10,"(x2 * ((x1 * -4.4056005e-8) + 1.4093446e-6)) + ((x1 * 7.5313314e-6) + (x0 * ((x2 * 2.0606907e-5) + 0.00073445984)))"
21,7.028295e-11,"((x1 * 7.625358e-6) + ((x0 * 2.8322167e-5) * x2)) + (((x1 * -5.49166e-7) + 1.7123424e-5) * (x0 + (x2 * 0.08256143)))"
23,1.6011656e-11,"(((x2 * 2.0592975e-5) + 0.00073445967) * x0) + ((x1 * 7.522301e-6) + (x2 * ((((x0 * -6.625484e-9) + -4.4240558e-8) * x1) + 1.4208508e-6)))"
25,1.462052e-11,"(x1 * 7.4738523e-6) + (((((x2 + x0) * 1.8698585e-5) + 0.0009130087) * x0) + (((x1 * ((x0 * -6.894943e-9) + -4.377255e-8)) + 1.4089161e-6) * x2))"
27,1.1928335e-11,"(x1 * 7.530226e-6) + ((x0 * (((x0 + x2) * 1.9703455e-5) + 0.00082391436)) + (x2 * ((x1 * (((x0 * 7.971866e-6) + 5.572624e-5) * -0.0007965786)) + 1.4062867e-6)))"
29,5.990026e-12,"(x1 * 7.596749e-6) + ((x0 * ((((4.423633 * x0) + x2) * 2.0003496e-5) + 0.0008000249)) + (x2 * (((-0.0012211489 * x1) * ((x0 * 5.1383495e-6) + 3.6900772e-5)) + 1.3755413e-6)))"
31,5.9274335e-12,"(x0 * ((((x0 * 4.423633) + x2) * 2.0016374e-5) + 0.00080001453)) + (((((x1 * ((x0 * 5.38571e-6) + 3.672002e-5)) * -0.0012211421) + 1.3789299e-6) * (x2 + -0.21493338)) + (x1 * 7.563552e-6))"
33,3.0520358e-12,"((9.821523e-7 * x2) + ((x1 * 7.5247976e-6) + (x0 * (((x2 + (x0 * 4.389124)) * 1.9726567e-5) + 0.0008207488)))) + ((0.3117641 + ((-0.0003742568 * x1) * x2)) * ((1.7351702e-5 * x0) + 0.000118421456))"
35,2.909424e-12,"(x1 * 7.5366597e-6) + ((x2 * 9.79848e-7) + ((((x0 * 1.6022559e-5) + 0.00011874988) * ((x1 * ((x0 + x2) * -0.0003743086)) + 0.3117641)) + (((((x0 * 4.389124) + x2) * 1.973616e-5) + 0.00082067674) * x0)))"
37,2.6154536e-12,"((((((x0 * 4.3892426) + x2) * -0.00037402703) * x1) + 0.3117641) * ((x0 * 1.13566375e-5) + 0.00011875971)) + (((x0 * (0.0008206777 + (((4.389124 * x0) + x2) * 1.974098e-5))) + (x1 * 7.5343833e-6)) + (x2 * 9.79061e-7))"
39,2.5315082e-12,"(x1 * 7.526846e-6) + (((x0 * ((((x0 * 4.389124) + x2) * 1.9746876e-5) + 0.0008206605)) + ((((x1 * -0.00037402668) * (((x0 * 4.389124) + x2) + -0.16871735)) + 0.3117641) * ((x0 * 1.1508816e-5) + 0.000118731805))) + (x2 * 9.797326e-7))"
