Complexity,Loss,Equation
1,9.1154305e-8,"2.2716695e-7"
3,5.5393592e-8,"x1 * 3.744847e-6"
5,4.487874e-8,"x2 * (x0 * 2.6259833e-5)"
7,4.227767e-8,"((x2 * x0) + x1) * 4.2709275e-6"
9,9.100978e-9,"((x0 * 2.6324864e-5) * x2) + (x1 * 3.7371367e-6)"
11,6.535179e-9,"(x1 * 3.7657073e-6) + ((x0 + 0.04981054) * (x2 * 2.7627682e-5))"
13,3.494846e-9,"(((x2 * (x0 + (x1 * -0.003057052))) * 2.3974323) + x1) * 1.0942065e-5"
15,9.408034e-10,"(x2 * (((x1 * -7.757424e-8) + 1.4281007e-6) + (x0 * 2.769531e-5))) + (x1 * 1.0642994e-5)"
17,1.8252799e-10,"(x1 * 1.04902865e-5) + (((x0 * 3.0430401e-5) + ((x1 * -8.028972e-8) + 1.4985984e-6)) * (x2 + -5.482887))"
19,1.723722e-10,"(x1 * 1.04902865e-5) + (((x1 * -8.028972e-8) + (1.4985984e-6 + (x0 * 3.0430401e-5))) * ((x2 + x0) + -5.4834394))"
21,1.6611894e-10,"((((x0 * 3.0161182e-5) + (x1 * -8.0312034e-8)) + 1.4258347e-6) * (x0 + ((x0 + x2) + -5.055406))) + (x1 * 1.0522314e-5)"
23,1.6205595e-10,"((((x1 * -8.028972e-8) + ((x0 * 3.049453e-5) + 1.4985984e-6)) * ((x2 + -5.2444725) + (x0 + x0))) + (x1 * 1.04902865e-5)) + -2.5413456e-6"
25,1.5657804e-10,"(x1 * 1.04902865e-5) + (((((x0 * 3.049453e-5) + 1.4985984e-6) + (x1 * -8.028972e-8)) * ((x2 + -5.244462) + ((x0 + x0) * 1.5056964))) + -2.5413456e-6)"
27,1.1776125e-10,"(x1 * ((-1.2854082e-7 * ((x2 * (-0.0035096442 * x2)) + x2)) + 1.1461968e-5)) + (((x2 + -5.254397) * ((x0 + x0) + (0.14770813 + x0))) * 1.0087555e-5)"
29,1.09741355e-10,"(x1 * (((((x2 * -0.0035096442) * x2) + x2) * -1.2854082e-7) + 1.1461968e-5)) + (((x0 + x0) + (x0 + 0.14770813)) * (((x2 + x0) + -5.254397) * 1.0087555e-5))"
31,1.0503647e-10,"(x1 * (1.1461968e-5 + (((x2 * (x2 * -0.0035096442)) + (x2 + x0)) * -1.2854082e-7))) + ((x0 + (x0 + (x0 + 0.14770813))) * (((x2 + x0) + -5.254397) * 1.0087555e-5))"
33,9.921186e-11,"(((-1.2264503e-7 * ((x2 * ((-0.0032108903 + (x0 * 0.00046584272)) * x2)) + x2)) + 1.3161873e-6) * x1) + ((((x2 + -5.2544155) * ((x0 + (x0 + 0.14960085)) + x0)) + x1) * 1.0075186e-5)"
35,9.204212e-11,"((((((x2 * x2) * ((x0 * 0.00046584272) + -0.0032108903)) + x2) * -1.2268956e-7) + 1.3279003e-6) * x1) + (((((x0 + (x0 + 0.14960085)) + x0) * ((x0 + x2) + -5.2544155)) + x1) * 1.0087387e-5)"
37,8.9849385e-11,"(((((x0 * 1.9821136) + (x2 + -5.2544155)) * (x0 + ((x0 + 0.14615172) + x0))) + x1) * 1.0083917e-5) + (x1 * (((x2 + (x2 * ((x0 * 0.04409629) + (x2 * -0.0032110885)))) * -1.2315749e-7) + 1.3653679e-6))"
39,8.928552e-11,"(x1 * (((x2 + (x2 * (((x2 + -0.3049756) * -0.0032110885) + (x0 * 0.05127922)))) * -1.2315749e-7) + 1.3653679e-6)) + ((x1 + ((((x0 * 1.9821136) + x2) + -5.2544155) * ((x0 + (x0 + 0.14615172)) + x0))) * 1.0083917e-5)"
