Complexity,Loss,Equation
1,2.1726218e-7,"-2.6394508e-7"
3,9.7508966e-8,"x1 * 5.4582733e-6"
5,9.692481e-8,"5.474421e-6 * (x1 + x0)"
7,3.6884863e-8,"(x1 * 5.474421e-6) + (x0 * 0.0011201868)"
9,2.3925807e-8,"(x1 + ((x0 * x2) * 4.8537536)) * 5.4448483e-6"
11,1.7403492e-8,"(((x2 * -7.270497e-8) + 1.0240534e-5) * x1) + (x0 * 0.0011113635)"
13,4.416953e-9,"((x0 * x2) * 2.6377878e-5) + (x1 * ((x2 * -7.005588e-8) + 1.01062205e-5))"
15,3.6165707e-10,"(((x2 * -6.996572e-8) + 1.0066042e-5) * x1) + (x2 * ((x0 * 2.7848786e-5) + 1.3699861e-6))"
17,3.320699e-10,"((x0 + x2) * ((x0 * 2.7848786e-5) + 1.3699861e-6)) + (((x2 * -6.996572e-8) + 1.0066042e-5) * x1)"
19,1.8556157e-10,"(((x0 + 2.8438735) * ((x0 + 0.031845085) * x2)) + (x1 + ((x1 * -0.00690076) * x2))) * 1.0065045e-5"
21,1.7583977e-10,"((((x0 + 2.8438735) * (x2 + x0)) * (x0 + 0.031845085)) + (x1 + ((x1 * -0.00690076) * x2))) * 1.0065045e-5"
23,6.584289e-11,"(x1 * (x2 * -7.049191e-8)) + ((x1 + (((x2 + (x0 * 18.01806)) * ((x0 + 0.047670722) * 2.7945833)) + -2.0500567)) * 1.01362e-5)"
25,5.9212114e-11,"((x1 * (x2 + x0)) * -7.049191e-8) + ((((((x0 * 18.01806) + x2) * ((x0 + 0.047670722) * 2.7945833)) + -2.0500567) + x1) * 1.01362e-5)"
27,5.3379495e-11,"((x1 + (((((x0 * 18.01806) + x2) * 2.7945833) * (x0 + 0.047670722)) + -2.0500567)) * 1.0127336e-5) + ((x1 * -7.049189e-8) * (x0 + (x2 + x0)))"
29,3.949911e-11,"(x1 * (((x0 * 7.13142) + x2) * -7.045653e-8)) + (((x1 + -1.9793739) + ((((x0 * 19.502394) + (x2 + 1.258506)) * (x0 + 0.04766062)) * 2.7355216)) * 1.0107242e-5)"
31,3.4421403e-11,"((((x2 + ((x0 + 0.047661558) * 17.63726)) * (2.73552 * (x0 + 0.047661558))) + (x1 + -1.9387506)) * 1.0214804e-5) + (((x0 * 8.147405) + (2.054135 + x2)) * (x1 * -6.9957e-8))"
33,3.3539227e-11,"(((x1 + (((((x0 + 0.047661558) * 17.63726) + (x0 + x2)) * 2.73552) * (x0 + 0.047661558))) + -1.9387506) * 1.0214804e-5) + ((((x0 * 8.147405) + 2.054135) + x2) * (x1 * -6.9957e-8))"
35,3.150977e-11,"((((x2 + (x0 * 7.721388)) * x1) * -7.0042326e-8) + -5.60353e-6) + (((((x0 + 0.047670722) * 2.7945833) * ((((x0 + x0) + x0) * 6.4474945) + (x2 + 0.5703843))) + (x1 + -1.6392269)) * 1.0075635e-5)"
37,3.0773745e-11,"((x1 + (-1.748017 + (2.7945833 * (((6.4474945 * ((x0 + x0) + x0)) + (x2 + 0.6194816)) * (x0 + 0.047670722))))) * 1.0075635e-5) + (-5.60353e-6 + ((x1 + -0.46777573) * (-7.0042326e-8 * (x2 + (x0 * 7.721388)))))"
39,3.0338353e-11,"((((((x0 + 0.047670722) * (((x0 + (x0 + x0)) * 6.4474945) + (x2 + 0.6194816))) * 2.7945833) + -1.748017) + x1) * 1.0075635e-5) + (((((x0 * 7.721388) + x2) * ((x0 + x1) + -0.44830412)) * -7.00427e-8) + -5.60353e-6)"
