Complexity,Loss,Equation
1,2.4088575e-8,"1.2916553e-5"
3,1.1787923e-8,"x0 * 0.0005124016"
5,1.0210325e-8,"(x0 * 0.0005553388) + 4.0944982e-5"
7,1.920635e-9,"(x3 * 2.0653883e-6) + (x0 * 0.0005103503)"
9,3.4282752e-10,"((x3 * 2.0773098e-6) + 4.1014708e-5) + (x0 * 0.0005553388)"
11,3.420349e-10,"(0.0005553388 * x0) + (((x3 + x1) * 2.0773098e-6) + 4.1014708e-5)"
13,3.0438552e-10,"(x0 * (0.0005853183 + (0.00022780572 * x0))) + ((x3 * 2.0798125e-6) + 3.0388876e-5)"
15,3.0085195e-10,"((x1 * 0.00021929939) + (((x0 * 0.00046109429) + 2.5322186e-5) * 1.2503929)) + (x3 * 2.07765e-6)"
17,2.9970929e-10,"((((0.00016498278 * x0) + (x3 * 1.5928187e-7)) + 0.0005640859) * x0) + (3.3756787e-5 + (x3 * 2.0765067e-6))"
19,2.9276476e-10,"((x3 * 0.023399776) + (((x0 + ((x3 * 0.0022490069) + 3.2173686)) * (x0 + x0)) + 0.37982208)) * 8.915887e-5"
23,2.922904e-10,"(((((x0 + 3.2173686) + (x3 * ((x0 + 0.9551713) * 0.003393945))) * (x0 + x0)) + (x3 * 0.023399804)) + 0.37982208) * 8.915297e-5"
25,2.922887e-10,"(((((x0 + 3.2173686) + (x3 * ((x0 + (x0 + 0.9551713)) * 0.003393945))) * (x0 + x0)) + (x3 * 0.023399804)) + 0.37982208) * 8.915297e-5"
27,2.9201874e-10,"(((((x0 + 3.2173686) + (x3 * ((x0 + (x0 + 0.9551713)) * 0.003393945))) * (x0 + x0)) + ((-0.4368751 + x3) * 0.023399804)) + 0.37982208) * 8.915297e-5"
