Complexity,Loss,Equation
1,2.3657721e-8,"1.1078513e-5"
3,1.1289444e-8,"x0 * 0.000512645"
5,9.870306e-9,"(x0 + 0.06994139) * 0.0005546889"
7,1.558272e-9,"(x3 * 2.0288044e-6) + (x0 * 0.0005087482)"
9,1.523848e-10,"((x3 * 0.0037141792) + (x0 + 0.06994139)) * 0.0005546889"
11,1.516203e-10,"0.0005546889 * (0.06834557 + (x0 + ((x1 + x3) * 0.0037141792)))"
13,1.0179032e-10,"(((x3 * 0.0037139046) + x0) + 0.057296343) * ((x0 * 0.00016268583) + 0.00056181155)"
15,1.014159e-10,"((x0 * 0.00016268583) + 0.00056181155) * (x0 + (0.045654323 + ((x3 + 2.8790994) * 0.0037139046)))"
17,9.941003e-11,"(x0 + (0.052605253 + (((x0 * -0.00048908545) + 0.003711504) * x3))) * ((x0 * 0.00020376722) + 0.0005652642)"
19,9.9153505e-11,"(x0 + (((x0 * x3) * -0.00048908545) + ((x3 * 0.003711504) + 0.052605253))) * ((x0 * 0.00020376722) + 0.0005641116)"
21,9.914146e-11,"(((x3 * (x0 * -0.00048908545)) + (x0 + 0.052605253)) + ((x3 * 0.0037039358) + 0.00020376722)) * ((x0 * 0.00020376722) + 0.0005652642)"
23,9.886807e-11,"((x0 + ((x0 * x3) * -0.00048908545)) + (((x3 * 0.003711504) + 0.052605253) + (x3 * -2.7189722e-5))) * ((x0 * 0.00020376722) + 0.0005652642)"
25,9.886799e-11,"(x0 + (((x3 * -0.00048908545) * x0) + (((x3 * 0.003711504) + ((x3 + 0.003711504) * -2.7415714e-5)) + 0.052605253))) * ((x0 * 0.00020376722) + 0.0005652642)"
27,9.885546e-11,"((x0 + (x3 * (-0.00048908545 * x0))) + (((x3 * 0.003711504) + (((x3 * -0.00048908545) + 0.003711504) * 0.056055058)) + 0.052605253)) * ((x0 * 0.00020376722) + 0.0005652642)"
