Complexity,Loss,Equation
1,2.3657716e-8,"1.1141416e-5"
3,1.1289435e-8,"x0 * 0.000512865"
5,9.870398e-9,"(x0 * 0.0005552718) + 3.8943635e-5"
7,1.5548185e-9,"(x0 * 0.00051283673) + (x3 * 2.0588218e-6)"
9,1.5246703e-10,"((x0 * 0.00055632065) + 3.8393926e-5) + (x3 * 2.0640805e-6)"
11,1.4747575e-10,"(((x3 * -0.999998) + 3.9818595e-5) + x3) + (x0 * 0.0005552718)"
13,1.1792467e-10,"((x3 + 24.124681) * ((x3 * -5.0802678e-9) + 2.1521203e-6)) + (x0 * 0.00055912684)"
15,1.1005435e-10,"((x3 + (x3 + 44.715965)) * ((x3 * -2.1025885e-9) + 1.0764288e-6)) + (x0 * 0.00055441813)"
17,1.09992265e-10,"((((x3 + 1.9111252) * -2.0733206e-9) + 1.0778452e-6) * (x3 + (x3 + 44.715965))) + (x0 * 0.00055441115)"
19,1.0553505e-10,"(((x3 * -2.0989217e-9) + 1.0967899e-6) * ((x3 + 44.715965) + x3)) + (((x3 * 3.6566226e-7) + 0.00054678356) * x0)"
21,9.929678e-11,"(x0 * 0.0005554603) + (((x3 + (x0 * (x3 * 0.3685953))) + (x3 + 44.715965)) * ((x3 * -2.1025885e-9) + 1.0808128e-6))"
23,9.865336e-11,"((x3 + ((x3 + (x3 * ((x0 + x1) * 0.4570166))) + 44.715965)) * ((x3 * -2.1025885e-9) + 1.0808128e-6)) + (x0 * 0.00055441813)"
25,9.859477e-11,"((((((x3 * (x0 + x1)) + -0.8141968) * 0.4570166) + x3) + (x3 + 44.715965)) * ((x3 * -2.1025885e-9) + 1.0808128e-6)) + (x0 * 0.00055441813)"
27,9.8573795e-11,"((((1.0785315e-6 + (x3 + 44.715965)) + ((x3 * (0.4570166 * (x0 + x1))) + x3)) + x0) * ((x3 * -2.1025885e-9) + 1.0785315e-6)) + (x0 * 0.00055441813)"
