Complexity,Loss,Equation
1,2.3657718e-8,"1.11219215e-5"
3,1.128943e-8,"x0 * 0.0005134089"
5,9.870292e-9,"(x0 * 0.000553046) + 3.8710972e-5"
7,1.5551016e-9,"((x3 * 0.0039647277) + x0) * 0.00051717315"
9,1.5254506e-10,"(x0 * 0.00055519305) + ((x3 * 2.067038e-6) + 3.8247428e-5)"
11,1.5165656e-10,"(x0 * 0.00055519305) + (((x3 + x1) * 2.067038e-6) + 3.8247428e-5)"
13,1.10923735e-10,"((x1 * 0.31270662) + (0.054664243 + (x0 + (x3 * 0.0035821162)))) * 0.0005720516"
15,1.1042882e-10,"(((x0 + -0.09780334) + (x1 * 0.38145924)) * 0.00057943625) + ((x3 * 2.057042e-6) + 8.574284e-5)"
17,1.09928865e-10,"((x3 * 2.0543514e-6) + ((((x0 * 0.3936717) + (x1 * 0.49972653)) + x0) * 0.00041335996)) + 2.9741197e-5"
21,1.0663044e-10,"(3.066998e-5 + (((x0 + (0.4164253 * x1)) + (0.26592964 * x0)) * 0.00045378247)) + (2.0520504e-6 * (x3 + (x3 * x2)))"
23,9.9665394e-11,"((((((x1 + (x3 * (x0 * 0.0036325913))) * 2.0151396) + (x1 + 0.5325109)) * 0.10259228) + x0) + (x3 * 0.0036325913)) * 0.00057163474"
25,9.960818e-11,"(((((x1 + ((x3 * x0) * 0.0036325913)) * 2.0151396) + (x1 + 0.5325109)) * 0.10259228) + (((x0 + x3) * 0.0036325913) + x0)) * 0.00057163474"
27,9.886077e-11,"3.066998e-5 + ((((x0 + (0.4164253 * x1)) + (0.26592964 * x0)) * 0.00045378247) + (2.0520504e-6 * (x3 + (x3 * ((0.4164253 * x1) + (0.26592964 * x0))))))"
