Complexity,Loss,Equation
1,2.1726218e-7,"-3.913342e-7"
3,9.750897e-8,"x1 * 5.4571833e-6"
5,9.626378e-8,"(x4 * -3.5654905e-6) * x1"
7,2.7377551e-8,"(x1 + (x3 * x0)) * 4.7769213e-6"
9,2.2334603e-8,"(((x0 + 0.048176613) * x3) + x1) * 4.7769213e-6"
11,1.7362245e-8,"(x1 * ((x5 + 0.04967464) * -0.6723071)) + (x0 * 0.0011401678)"
13,4.416145e-9,"((x0 * 4.1644e-6) * x3) + (x1 * ((x5 * -0.66170144) + -0.03286972))"
15,3.5744033e-10,"(x3 * ((x0 * 4.393226e-6) + 2.1863583e-7)) + (((x5 * -0.66170186) + -0.032869734) * x1)"
17,3.526852e-10,"((x3 + x0) * ((x0 * 4.393226e-6) + 2.1863583e-7)) + (((x5 * -0.66170186) + -0.032869734) * x1)"
19,3.3632389e-10,"(((x5 * -0.66170186) + -0.032869734) * x1) + ((2.1863583e-7 + (4.393226e-6 * x0)) * ((x1 * -0.060302723) + x3))"
21,1.7670396e-10,"(x1 * ((x5 * -0.662249) + -0.03289692)) + (((x0 * 4.494351e-6) + 1.5879962e-7) * (((x0 * 0.31467235) * x3) + x3))"
23,1.7322177e-10,"((x3 + (((x2 * x3) + 2.5565865) * x0)) * ((x0 * 4.4946964e-6) + 1.5852947e-7)) + (((x5 * -0.662249) + -0.03289692) * x1)"
25,1.5380903e-10,"(x1 * ((x5 * -0.662249) + -0.032896943)) + (((x3 + (x1 * -0.105600744)) + ((x2 * x3) * x0)) * ((x0 * 4.4441717e-6) + 1.5886295e-7))"
27,1.2127356e-10,"(x3 + (x1 * -0.21649152)) * (((((x3 * 0.0021494941) + x4) * (x1 + (x0 * (((x3 * x3) * 0.0022224672) + 14.480671)))) * -3.143675e-8) + 2.739907e-7)"
29,8.3676066e-11,"((((x3 * 0.0021508324) + x4) * ((((x0 * (((x3 * 0.0022222695) * x3) + 15.982976)) + x1) + 1.4840856) * -3.1356425e-8)) + 2.4097952e-7) * (x3 + (x1 * -0.21649152))"
31,8.177005e-11,"((x1 * -0.21649152) + x3) * (2.4439078e-7 + ((((0.0021494941 * x3) + x4) * -3.1355754e-8) * ((x1 + 1.3225822) + (x0 * (x0 + (((x3 * x3) * 0.0022224672) + 15.212883))))))"
33,7.583514e-11,"((x1 * (x4 + 1.3042864)) + x3) * ((((x0 * (((x3 * x3) * 0.0021884032) + 17.38863)) + (x1 + 1.2033862)) * (((x4 * 1.1578301) + (x3 * 0.0024880848)) * -2.7227196e-8)) + 2.588759e-7)"
35,6.0442554e-11,"((x1 * (x4 + 1.3042864)) + x3) * (((x5 * ((((((x3 * x3) * 0.0021679155) + 17.38863) * x0) + x1) + 1.9457972)) * (((x3 * 0.0024868879) + (x4 * 1.1578301)) * 5.4633387e-7)) + 2.3808198e-7)"
37,5.822242e-11,"((((((((x3 * x3) * 0.0021884032) + 17.38863) * x0) + x1) + 1.9457972) * (x5 * (((x4 * 1.1578301) + (x3 * 0.0024880844)) * 5.462144e-7))) + 2.3498487e-7) * (((x1 * (x4 + 1.3042864)) + x0) + x3)"
39,5.6894784e-11,"(((((0.0024880844 * x3) + (x4 * 1.1578301)) * ((x1 + (((16.558544 + ((x3 * x3) * 0.0021884032)) + x0) * x0)) + 1.9457972)) * (x5 * 5.462144e-7)) + 2.3498487e-7) * ((x1 * (x4 + 1.3042864)) + (x3 + x0))"
