Complexity,Loss,Equation
1,1.8317075e-9,"2.5856866e-7"
3,1.12463046e-10,"1.0362122e-5 * x1"
5,7.191276e-11,"(x0 + x1) * 1.04704e-5"
7,9.894553e-12,"(x1 * 1.0355535e-5) + (x0 * 4.6677495e-5)"
9,4.0286134e-12,"((x0 * 4.9318685e-5) + (x1 * 1.0356991e-5)) + 2.4813403e-6"
11,3.9693635e-12,"(((x1 * -0.9999896) + 2.5841273e-6) + x1) + (x0 * 4.864131e-5)"
13,3.869593e-12,"((((x1 * 7.128515e-7) + 4.972061e-5) * x0) + (x1 * 1.04104165e-5)) + 2.516029e-6"
15,2.9364664e-12,"((x1 * 1.0369023e-5) + (((x1 * (5.9788766e-7 * x1)) + 4.460531e-5) * x0)) + 2.6621428e-6"
17,2.7602035e-12,"((((x1 * ((x1 + 1.1270509) * 5.989133e-7)) + 4.4609333e-5) * x0) + (1.037507e-5 * x1)) + 2.7300691e-6"
19,2.7065622e-12,"((((((x1 + x0) + 1.1270509) * 5.989133e-7) * x1) + 4.4609333e-5) * x0) + ((x1 * 1.037507e-5) + 2.7300691e-6)"
21,2.5207642e-12,"((((((x0 * 6.33519) + x1) * (x1 + 1.6643394)) * 5.9345666e-7) + 4.4370903e-5) * x0) + ((x1 * 1.0323266e-5) + 2.368366e-6)"
23,2.4985819e-12,"((((((x0 * 6.33519) + x1) * ((x1 + x0) + 1.8295277)) * 5.9345666e-7) + 4.4370903e-5) * x0) + ((x1 * 1.0323266e-5) + 2.368366e-6)"
25,2.1434271e-12,"((x0 + (((x1 * x0) * (((x3 * (x1 * x1)) * (x1 + 2.028145)) * 3.2855645e-5)) + 0.0584463)) * 4.555006e-5) + (x1 * 1.0422723e-5)"
27,2.1366786e-12,"((x0 + ((((x1 * x0) * ((x3 + -1.2012435) * x1)) * ((x1 * (2.028145 + x1)) * 3.2855645e-5)) + 0.0584463)) * 4.555006e-5) + (x1 * 1.0422723e-5)"
29,1.7501674e-12,"(x1 * 1.0505598e-5) + ((((((x1 + 2.869542) * (((x1 + -4.136963) * ((x1 * x0) * x4)) + (x1 + -2.262715))) * 6.8091816e-7) + 4.8632253e-5) * x0) + 2.147821e-6)"
31,1.7059367e-12,"(1.0484117e-5 * x1) + (2.1755216e-6 + (x0 * ((((2.869542 + x1) * ((((x1 + -4.136963) * ((0.41966477 + x1) * x0)) * x4) + (x1 + -2.262715))) * 6.4964274e-7) + 4.860182e-5)))"
33,1.650005e-12,"((x1 * 1.0484117e-5) + (x0 * (((x1 + 2.869542) * (((((((x1 + -4.136963) * ((x1 + x0) + 0.62737924)) * x4) * x0) + x1) + -2.262715) * 6.4964274e-7)) + 4.860182e-5))) + 2.1755216e-6"
35,1.6364113e-12,"(x1 * 1.0484117e-5) + ((x0 * (((2.869542 + (x1 + x0)) * (((((((x1 + -4.136963) * (x1 + (x0 + 0.62737924))) * x4) * x0) + x1) + -2.262715) * 6.4964274e-7)) + 4.860182e-5)) + 2.1755216e-6)"
39,1.6271602e-12,"x4 * (((x1 * -6.6484135e-6) + -1.6349445e-6) + (x0 * ((((x1 + 3.5110023) * (x1 + ((x0 * (x1 * ((x4 * ((x1 + (x0 + x4)) + (x0 + -1.6326925))) + 0.9031081))) + -2.1075416))) * -3.9904904e-7) + -3.1656025e-5)))"
