Complexity,Loss,Equation
1,1.2046934e-8,"1.6671848e-7"
3,8.9864916e-10,"x1 * 8.799005e-6"
5,7.924247e-10,"(x1 + x0) * 8.842988e-6"
7,6.868073e-11,"(x1 * 8.792279e-6) + (x0 * 0.0001335827)"
9,2.2374177e-11,"((x1 + 0.7943276) * 8.789609e-6) + (x0 * 0.00013955311)"
11,2.1833228e-11,"(x0 * 0.00013941558) + (x1 + ((x1 * -0.9999912) + 6.6750467e-6))"
13,2.130344e-11,"((x1 + 0.04525852) + (x5 + (x1 * -0.9999912))) + (x0 * 0.00013894038)"
15,2.0808966e-11,"(x0 * 0.00014215262) + (((x1 + ((x0 * x0) * 3.1095645)) + 0.63446224) * 8.77961e-6)"
17,1.5174504e-11,"(((x1 + (x0 * ((x0 + 0.1578055) * x1))) * 8.631168e-6) + (x0 * 0.00013964795)) + 6.940536e-6"
19,1.3278599e-11,"(x0 * 0.00013687447) + (((((x1 + 4.842019) * ((x0 + 0.15674762) * x0)) + 0.6015982) + x1) * 8.63508e-6)"
21,1.3262616e-11,"(x0 * 0.00013687447) + (((((((x1 * 1.0345951) + 4.842019) * (x0 + 0.15674762)) * x0) + x1) + 0.6015982) * 8.63508e-6)"
23,1.2964746e-11,"((((((((x0 * -2.9076388) + 4.9561796) + x1) * (x0 + 0.15524049)) * x0) + 0.6015982) + x1) * 8.645886e-6) + (x0 * 0.00013831076)"
25,1.2772348e-11,"(((((((((x0 + x0) * -2.9076388) + 4.9561796) + x1) * (x0 + 0.15524049)) * x0) + 0.6015982) + x1) * 8.645886e-6) + (x0 * 0.00013831076)"
27,1.2451399e-11,"(0.00013664467 * x0) + (((x1 + (x0 * ((x1 * (((x1 * x5) * -0.7121502) + 0.4772766)) * (x0 + (x0 + 0.37085745))))) + 0.63377017) * 8.657266e-6)"
29,1.1430708e-11,"(((x1 + (((x0 + x0) + 0.3904925) * (x0 * ((((x1 * (x5 * -0.74080175)) + 0.44383588) * x1) + 1.8019722)))) * 8.670286e-6) + (x0 * 0.0001320302)) + 4.086433e-6"
31,9.136996e-12,"(((x1 + ((((((x0 * 4.561406) + -0.9124371) * x1) * x5) + 0.41841617) * (x0 * (x1 * ((x0 + 0.41841617) + x0))))) * 8.645625e-6) + 6.401974e-6) + (x0 * 0.00014123209)"
33,6.2576866e-12,"((((((x1 + 4.3875995) * ((((x0 * 4.561406) + -0.82580507) * (x1 * -0.06457907)) + 0.41841617)) * x0) * ((x0 + x0) + 0.41841617)) + x1) * 8.658215e-6) + ((x0 * 0.00013914701) + 5.273513e-6)"
35,6.136271e-12,"((((((x1 + 4.3875995) * (((((x0 * 4.561406) + -0.82580507) * (x1 * -0.06457907)) + 0.41841617) * x0)) * ((x0 + (x0 * 0.959869)) + 0.41841617)) + x1) * 8.658215e-6) + (x0 * 0.00013914701)) + 5.273513e-6"
37,5.9276356e-12,"(((x1 + (x0 * (((x0 + (x0 + 0.41841617)) * (x1 + 3.5516045)) * (((x1 + 2.2768385) * ((((x0 + x0) * 2.2768385) + -0.82580507) * -0.060007956)) + 0.3710671)))) * 8.6691425e-6) + (x0 * 0.00014066196)) + 5.4325205e-6"
