Complexity,Loss,Equation
1,1.2046935e-8,"1.358459e-7"
3,8.98649e-10,"x1 * 8.799968e-6"
5,7.9242296e-10,"(x1 + x0) * 8.840768e-6"
7,6.867318e-11,"(x1 * 8.783216e-6) + (x0 * 0.00013360244)"
9,2.2380821e-11,"(x1 * 8.795175e-6) + ((x0 * 0.00013957795) + 6.899414e-6)"
11,2.1855568e-11,"((x1 * -0.9999912) + (x1 + 6.5720915e-6)) + (x0 * 0.00013936956)"
13,2.1703098e-11,"((x0 * 5.2040767e-5) + (x1 + ((x1 * -0.9999967) + 2.741897e-6))) * 2.670125"
15,2.052187e-11,"((x0 * 0.00014391223) + ((((x0 * x0) * 4.8499565) + x1) * 8.784997e-6)) + 5.0928447e-6"
17,1.5206917e-11,"(x0 * 0.00013880285) + (((x1 + 0.7976424) + ((x0 * x1) * (x0 + 0.16401188))) * 8.63863e-6)"
19,1.3839181e-11,"(((((x0 + 0.14072537) * ((x1 + 2.5275967) * x0)) + x1) + 0.70228916) * 8.6228765e-6) + (x0 * 0.0001388656)"
25,1.0724631e-11,"(x0 * 0.00013350713) + ((x1 + ((x1 * (((x1 + ((x1 * (-0.21348752 * x0)) * x1)) * x1) * -0.00031017655)) + 0.7962022)) * 9.407732e-6)"
27,9.011828e-12,"(x0 * 0.00013290884) + (((x1 + (x1 * (((x1 + (((x1 * -0.21348752) * x0) * (x1 + 4.394771))) * x1) * -0.00031043103))) + 0.7962022) * 9.420118e-6)"
29,8.491079e-12,"(x0 * 0.00013399683) + (((x1 + (x1 * (((x1 + 0.1321392) * -0.00031335076) * (x1 + ((((x1 + 8.789542) * x1) * x0) * -0.21348752))))) + 0.7962022) * 9.48819e-6)"
31,8.4125285e-12,"((((((x3 + x1) * (x1 * -5.783967e-6)) * ((x1 + (((x1 * x0) * (x1 * -0.21742284)) + -3.5054765)) * x1)) + x1) + 0.82249075) * 9.444373e-6) + (x0 * 0.00013267317)"
33,7.737175e-12,"(x0 * 0.00013360244) + ((((((x1 * ((x0 * (((x1 * -0.18008095) + -0.84854317) * x1)) + (x1 + -3.5054765))) * ((x3 + x1) * x1)) * -5.783967e-6) + x1) + 0.82249075) * 9.444373e-6)"
35,7.485227e-12,"((((x1 * (((((x0 * ((x1 * -0.18008095) + -1.7809565)) * (x1 + -2.891117)) + (x1 + -2.891117)) * (x1 + x3)) * (x1 * -5.5231635e-6))) + x1) + 0.82249075) * 9.466436e-6) + (x0 * 0.00013469733)"
37,7.450536e-12,"(((((x1 * (((x1 + ((x0 * ((x1 * -0.18008095) + -1.7809565)) * (x1 + -2.891117))) + -2.891117) * (x1 + (x3 + 1.3276831)))) * (x1 * -5.5231635e-6)) + x1) + 0.82249075) * 9.466436e-6) + (x0 * 0.00013469733)"
