Complexity,Loss,Equation
1,2.0587137e-8,"-4.064901e-8"
3,1.1905954e-9,"x1 * 1.1606999e-5"
5,1.042981e-9,"(x1 + x0) * 1.1647838e-5"
7,2.5327335e-10,"(x0 * 0.00014009512) + (x1 * 1.1597964e-5)"
9,1.810142e-10,"(x1 + (x0 * (x1 + 12.075469))) * 1.2021012e-5"
11,2.5565952e-11,"((x0 * 13.263932) + x1) * ((x0 * 7.904391e-6) + 1.1939008e-5)"
13,1.6923605e-11,"(((x0 * 7.3488713e-6) + 1.1920098e-5) * ((x0 * 13.26806) + x1)) + 3.1234822e-6"
15,1.5197418e-11,"(((x0 * 7.180265e-6) + 1.1913629e-5) * (x1 + ((x0 + 13.398332) * x0))) + 3.3039769e-6"
17,6.6500594e-12,"(x1 + ((((x0 + (x1 * 0.038659334)) * 3.010572) + 2.7697854) * (x0 * 5.006155))) * 1.1900942e-5"
19,6.479399e-12,"((-0.041325822 + x1) + ((((x0 + (x1 * 0.038659334)) * 3.010572) + 2.7697854) * (x0 * 5.006155))) * 1.190261e-5"
21,6.27193e-12,"(((((((((x0 + x1) * 0.038659334) + x0) * 3.010572) + 2.7697854) * x0) * 5.006155) + x1) * 1.1906995e-5) + -6.668139e-7"
23,6.2641914e-12,"(((x0 * (((((((x0 + 0.04475351) + x1) * 0.038659334) + x0) * 3.010572) + 2.7697854) * 5.006155)) + x1) * 1.1906995e-5) + -6.668139e-7"
25,6.1241875e-12,"((x4 * (((((x0 + (((x0 * 2.5847814) + x1) * 0.038466197)) * 3.010485) + 2.787957) * (x0 * 5.0061555)) + x1)) * 7.592344e-6) + -1.178721e-6"
27,6.119161e-12,"(x4 * ((x1 + (((((((((x0 * 2.7879553) + x1) + 0.049018424) * 0.038484346) + x0) * 3.0104873) + 2.7879553) * x0) * 5.006156)) * 7.5869534e-6)) + -1.2172972e-6"
29,6.0242406e-12,"(x4 * ((((((((((x0 * ((x1 * 0.06943254) + 2.7879553)) + x1) * 0.038484346) + x0) * 3.0104873) + 2.7879553) * x0) * 5.006156) + x1) * 7.5869534e-6)) + -1.2172972e-6"
31,5.8517744e-12,"((x1 + (((((x0 + (((x0 * (((x0 + x0) * (x0 * x1)) + 2.8264399)) + x1) * 0.038532455)) * 3.0104902) + 2.8264349) * x0) * 5.006155)) * 1.1862921e-5) + -1.3559223e-6"
33,5.633569e-12,"((x1 + (x0 * (((((((x0 * (((x0 + x0) * ((x1 * x0) + -2.1163318)) + 2.8264399)) + x1) * 0.038532455) + x0) * 3.0104902) + 2.8264349) * 5.006155))) * 1.1862921e-5) + -1.3559223e-6"
35,5.469538e-12,"((x1 + ((((((((x0 * (((x0 + x0) * (((1.8052827 * x1) * x0) + -2.1163318)) + 2.8264399)) + x1) * 0.038532455) + x0) * 3.0104902) + 2.8264349) * x0) * 5.006155)) * 1.1862921e-5) + -1.3559223e-6"
37,5.4674303e-12,"((x1 + (((((((x1 + (x0 * (((((x1 * x0) + (x1 * x0)) + -2.1163318) * (x0 + x0)) + 2.8264399))) * 0.038532455) + x0) * 3.0104902) + 2.8264349) * x0) * 5.006155)) * 1.1862921e-5) + -1.3559223e-6"
39,5.428442e-12,"((x1 + (((((((x0 * (((((x1 * x0) + ((x1 + -2.1163318) * x0)) + -2.1163318) * (x0 + x0)) + 2.8264399)) + x1) * 0.038532455) + x0) * 3.0104902) + 2.8264349) * (x0 * 5.006155))) * 1.1862921e-5) + -1.3559223e-6"
