Complexity,Loss,Equation
1,2.0587137e-8,"-5.748548e-8"
3,1.1905952e-9,"1.1608593e-5 * x1"
5,1.0429855e-9,"(x1 + x0) * 1.1643353e-5"
7,2.5319175e-10,"(x0 * 0.00014245465) + (x1 * 1.1590116e-5)"
9,2.0162141e-10,"(x0 * 0.00014915068) + ((x1 * 1.1598027e-5) + 7.100801e-6)"
11,2.5575342e-11,"((x0 * 0.00010400395) + (x1 * 7.777571e-6)) * (x0 + 1.5322279)"
13,1.6952283e-11,"((x0 + 1.6103866) * ((x0 * 9.838785e-5) + (x1 * 7.3967694e-6))) + 2.8538248e-6"
15,6.6716493e-12,"(x1 * ((x0 * 6.9571665e-6) + 1.1900989e-5)) + (((x0 * 0.0001821874) + 0.00016514148) * x0)"
17,6.1783894e-12,"((x1 + -0.11267608) * ((x0 * 6.9571665e-6) + 1.1900989e-5)) + (x0 * ((x0 * 0.00020035452) + 0.00016631195))"
21,6.1381646e-12,"((x5 * -0.13371493) + ((((x0 * 6.8642e-6) + 1.1893274e-5) * x1) + -0.006051632)) + (x0 * ((x0 * 0.00020020935) + 0.00016702077))"
23,6.121544e-12,"((((x0 * 6.9571665e-6) + 1.1900989e-5) * (x1 + 0.011962854)) + -0.0060518193) + ((x5 * -0.13371493) + (((x0 * 0.00020035452) + 0.00016620834) * x0))"
27,6.1214653e-12,"((((x0 * 6.9571665e-6) + 1.1900989e-5) * ((x1 + 0.011962854) + (x0 * 0.00020035452))) + -0.0060518193) + ((x5 * -0.13371493) + (((x0 * 0.00020035452) + 0.00016620834) * x0))"
29,5.3603164e-12,"(((x0 * -0.048964713) + x5) * (x0 + (((((x0 * (x0 * (x0 + -0.18377244))) + x5) * (x0 * 0.6713515)) + (x5 + 0.116452806)) * x1))) * -0.0036989618"
31,5.1923444e-12,"((x0 * -0.04892686) + x5) * ((((x1 * ((x5 + ((x0 * 0.6713508) * (x5 + ((x0 * (x0 + -0.19707412)) * x0)))) + 0.11643575)) + x0) * -0.0037003655) + 6.429127e-6)"
