Complexity,Loss,Equation
1,2.0587136e-8,"-6.821429e-8"
3,1.1905956e-9,"x1 * 1.1606539e-5"
5,1.0429835e-9,"(x0 + x1) * 1.1644646e-5"
7,2.5316602e-10,"(x0 * 0.0001412561) + (x1 * 1.158991e-5)"
9,2.0160028e-10,"(x1 * 1.1617698e-5) + ((x0 * 0.00014837111) + 7.4017703e-6)"
11,2.5534146e-11,"((x0 * 0.00010425884) + (x1 * 7.832174e-6)) * (x0 + 1.5221119)"
13,1.7026703e-11,"((x0 + 1.6435593) * ((x0 * 9.6488635e-5) + (x1 * 7.247834e-6))) + 3.4661184e-6"
15,6.686542e-12,"(x1 * 5.399065e-6) + ((x0 + 0.9317411) * ((x0 * 0.00017730788) + (x1 * 6.9891175e-6)))"
17,6.1503307e-12,"(x1 * 1.188928e-5) + ((x0 * ((x0 * 0.00019616466) + ((x1 * 6.939594e-6) + 0.00016702866))) + -1.1212205e-6)"
19,5.7921107e-12,"(x1 * 1.188582e-5) + ((x0 + 0.9277993) * (x0 * ((x1 * ((x0 * -8.323985e-6) + 8.018817e-6)) + 0.00017807863)))"
21,5.1568676e-12,"((x1 + -0.10000216) * 1.1890913e-5) + ((x0 * (x0 + 0.83430153)) * ((x1 * ((x0 * -1.1012636e-5) + 9.02e-6)) + 0.0001985411))"
23,4.90644e-12,"(x1 * 1.187089e-5) + (((x0 + 0.9026435) * x0) * ((x1 * (((x1 * 7.1547156e-8) + (x0 * -8.363363e-6)) + 8.199687e-6)) + 0.00017869861))"
25,4.532098e-12,"((x1 + -0.10000216) * 1.1882854e-5) + ((x0 + 0.83430153) * (((((x1 * 6.370658e-8) + ((x0 * -1.0647858e-5) + 8.844447e-6)) * x1) + 0.0001947234) * x0))"
27,4.484025e-12,"((x1 + -0.10000216) * 1.1882854e-5) + ((x0 + 0.83430153) * (((((((x1 + 2.6259468) * 6.370658e-8) + (x0 * -1.0647858e-5)) + 8.844447e-6) * x1) + 0.0001947234) * x0))"
29,4.4839323e-12,"((x1 + -0.10000216) * 1.1882854e-5) + ((x0 + 0.83430153) * (((((((x1 + (x4 + 0.89795566)) * 6.370658e-8) + (x0 * -1.0647858e-5)) + 8.844447e-6) * x1) + 0.0001947234) * x0))"
31,4.137991e-12,"(x0 * (((x1 * ((x0 * -8.216391e-6) + 8.374915e-6)) + 0.00017943377) * (x0 + 0.89855516))) + (x1 * (((x0 + 0.33135927) * (((x0 * 2.7420396e-7) + -1.839849e-8) * x1)) + 1.1861175e-5))"
33,4.1130562e-12,"(x0 * (((x1 * ((x0 * -8.216391e-6) + 8.374915e-6)) + 0.00017943377) * (x0 + 0.89855516))) + ((x1 * (1.1861175e-5 + ((x0 + 0.33135927) * (((x0 * 2.7420396e-7) + -1.839849e-8) * x1)))) * 1.0017867)"
35,4.0472053e-12,"((x1 + -0.032557055) * 1.1874979e-5) + (((x1 * ((x0 + 0.33135927) * (((x0 * 2.983499e-7) + -2.0026745e-8) * x1))) + (x0 * ((x1 * ((x0 * -8.878139e-6) + 8.130169e-6)) + 0.000179346))) * (x0 + 0.89855516))"
37,4.0418485e-12,"((x1 + -0.032557055) * 1.1861175e-5) + ((((x1 * ((x0 + 0.33135927) * ((x0 * 2.7420396e-7) + -1.839849e-8))) * (x1 + -1.3516867)) + (x0 * ((x1 * ((x0 * -8.216391e-6) + 8.374915e-6)) + 0.00017943377))) * (x0 + 0.89624584))"
39,3.839057e-12,"(x4 * (x1 * 7.5758458e-6)) + ((x0 + 0.89624584) * ((x1 * ((((x0 + 0.33135927) * (x0 * 2.3696488e-7)) + -7.652405e-9) * x1)) + (((((((x0 * -9.834666e-6) + -8.936697e-6) * x0) + 8.754518e-6) * x1) + 0.00017973209) * x0)))"
