Complexity,Loss,Equation
1,2.8796532e-9,"1.8967029e-7"
3,1.2956299e-10,"x1 * 1.3106581e-5"
5,8.199104e-11,"(x0 + x1) * 1.3203619e-5"
7,3.382225e-11,"(x1 * 1.3106581e-5) + (x0 * 4.547486e-5)"
9,2.8590892e-11,"(x0 * 4.7904672e-5) + ((x1 * 1.3137164e-5) + 2.4862984e-6)"
11,4.1174585e-12,"((x0 + (x1 * x2)) * (x0 + 1.56343)) * 2.8863784e-5"
13,3.010566e-12,"(x0 + 1.575197) * (((x0 * 1.1135292) + (x2 * x1)) * 2.8557735e-5)"
15,2.0799252e-12,"(x0 + 1.5756147) * ((((x1 * x2) + 0.021502836) + (x0 * 1.113567)) * 2.8542256e-5)"
17,2.0190945e-12,"(((x0 * 1.1285497) + (x2 * ((x0 * x0) + x1))) * (x0 + 1.6115382)) * 2.7896333e-5"
19,1.8332274e-12,"((x0 + 1.6115383) * ((x0 * 1.1285497) + (x2 * (((x0 * x0) + 0.03206544) + x1)))) * 2.7898395e-5"
21,1.8273879e-12,"(((x0 * 1.1285497) + (((x1 + 0.028412962) + ((x0 * 1.1285497) * x0)) * x2)) * 2.7898395e-5) * (x0 + 1.6115383)"
23,1.8188545e-12,"(((x1 * x2) + (x0 * 1.9845643)) * ((((x0 + x2) * x5) + (x5 + -0.01710383)) * -0.0005917833)) + (x0 * -3.688739e-5)"
25,1.815163e-12,"((((x1 * x2) + (x0 * 1.1470742)) * ((x5 + (x5 * (x0 + x2))) + -0.014284219)) * -0.0006156585) + ((x0 * x0) * 1.9568131e-5)"
27,1.7582159e-12,"((((x2 * x1) + x0) * -3.057055e-5) + -7.189992e-7) * (x3 * (x5 + (((x0 * ((x1 * -0.0042995205) + -0.0050171507)) + x5) * (x0 + 0.718075))))"
29,1.6117921e-12,"((((x2 * x1) + x0) * 0.0003511494) + 1.1391034e-5) * (((((x1 * ((x0 + x5) * -0.004526237)) + (x5 + -0.0050171763)) * (x0 + 0.71807504)) + x5) * x4)"
31,1.5174118e-12,"x4 * (((((x2 * x1) + x0) * 0.00034364694) + 1.545019e-5) * (x5 + ((x0 + 0.8466472) * (x5 + ((((x1 * -0.00033099114) + -0.004067679) * x1) * (x0 + -0.0926428))))))"
33,1.4190655e-12,"x4 * (((((x2 * x1) + x0) * 0.00032395916) + 1.3622411e-5) * (x5 + ((x0 + 0.8466472) * (x5 + ((((x1 * -0.0003311613) + -0.004067684) * (x1 * (x0 + -0.086649455))) + -0.005993338)))))"
35,1.3974833e-12,"((((x0 + 0.84184605) * (((x1 * (((x1 + x4) * -0.00042024205) + -0.004478428)) * (x0 + -0.08064264)) + (x5 + -0.0049703196))) + x5) * (((x0 + (x2 * x1)) * 0.00032853635) + 1.3010951e-5)) * x4"
39,1.3971948e-12,"((((x0 + 0.841846) * (x5 + ((x1 * (((((x4 + x0) + x1) * -0.00037531438) + -0.0044782097) * (x0 + -0.08064265))) + -0.0049689966))) + x5) * ((((x1 * x2) + x0) * -0.00019452944) + -7.5782045e-6)) * (x4 * -1.6884865)"
