Complexity,Loss,Equation
1,2.8796532e-9,"1.8868725e-7"
3,1.295629e-10,"x1 * 1.3104688e-5"
5,8.199033e-11,"(x1 + x0) * 1.3197745e-5"
7,3.3829405e-11,"(x0 * 4.5175246e-5) + (x1 * 1.3125977e-5)"
9,2.1482425e-11,"((x0 * (x1 + 3.7796526)) + x1) * 1.3480502e-5"
11,2.9866348e-12,"(x1 + (x0 * 3.769424)) * ((x0 * 8.866234e-6) + 1.3483819e-5)"
13,2.014963e-12,"(((x0 * (x0 + 3.7796526)) + x1) * (x0 + 1.5880138)) * 8.4888625e-6"
15,1.8329125e-12,"((x1 + ((x0 + 3.7772553) * x0)) * ((x0 + 1.6451817) * 8.18696e-6)) + 4.7530722e-7"
17,1.8298657e-12,"((x1 + (((x0 * 1.0807766) + 3.7772553) * x0)) * ((x0 + 1.6451817) * 8.191213e-6)) + 3.6450817e-7"
19,1.8270533e-12,"(((x0 * (((x0 * 0.10692091) + 3.7770283) + x0)) + x1) * ((x0 + 1.6463047) * 8.179724e-6)) + 3.928152e-7"
21,1.7639247e-12,"((x0 + 1.518296) * ((((x1 * ((x0 * x0) * -1.22142)) + (x0 + 3.7742753)) * x0) + x1)) * 8.869118e-6"
23,1.6449836e-12,"(x0 + 1.518296) * ((((((((x1 * (x0 * -1.22142)) * x0) + x0) + 3.7742753) * x0) + x1) * 8.87686e-6) + 2.5162768e-7)"
25,1.619373e-12,"(x0 + 1.518296) * ((((((((x1 + 0.7273475) * (x0 * -1.22142)) * x0) + (x0 + 3.7742753)) * x0) + x1) * 8.87686e-6) + 2.5162768e-7)"
27,1.5172443e-12,"(((x1 + (x0 * 3.474096)) + 0.124508865) * ((((x1 * 0.05337156) + 0.23208678) * ((x0 + -0.096709386) * x5)) + -0.09670939)) * ((x0 + 1.911318) * -7.346477e-5)"
29,1.3386225e-12,"((x1 + 0.124479316) + (x0 * 3.4740975)) * (((x0 + 1.9113157) * 7.098621e-6) + ((((x1 * 0.05239061) + (x0 + 0.43765756)) * (x1 * (x0 + -0.09625139))) * 1.0732248e-6))"
39,1.3327625e-12,"((x1 + (x0 * 3.474096)) + 0.124508865) * (((((x1 * 0.05337156) + 0.23208678) * (((((((x1 + (x0 * 3.474096)) + 0.124508865) * 0.23208678) + 0.05337156) * x0) + -0.096709386) * x5)) + -0.09670939) * ((x0 + 1.911318) * -7.346477e-5))"
